variable,description
mv763c,Had genital discharge in last 12 months
mv763d,NA - Had CS STI in last 12 months
mv763e,NA - Had CS STI in last 12 months
mv763f,NA - Had CS STI in last 12 months
mv763g,NA - Had CS STI in last 12 months
mv766a,"Number of sex partners, excluding spouse, in last 12 months"
mv766b,"Number of sex partners, including spouse, in last 12 months"
mv767a,Relationship with most recent sex partner
mv767b,Relationship with 2nd to most recent sex partner
mv767c,Relationship with 3rd to most recent sex partner
mv768a,NA - Length of time had sex relations with most recent partner
mv768b,NA - Length of time had sex relations with 2nd to most recent partner
mv768c,NA - Length of time had sex relations with 3rd to most recent partner
mv769,Can get a condom
mv769a,Can get a female condom
mv770,Sought advice/treatment for last STI infection
mv770a,Sought STI advice/treatment from: government hospital
mv770b,Sought STI advice/treatment from: government health center/post
mv770c,Sought STI advice/treatment from: public stand-alone VCT center
mv770d,Sought STI advice/treatment from: public family planning clinic
mv770e,Sought STI advice/treatment from: public mobile clinic
mv770f,Sought STI advice/treatment from: public field worker
mv770g,Sought STI advice/treatment from: mobile treatment center
mv770h,Sought STI advice/treatment from: other public
mv770i,NA - Sought STI advice/treatment from: CS public
mv770j,NA - Sought STI advice/treatment from: CS public
mv770k,Sought STI advice/treatment from: private hospital/clinic/doctor
mv770l,Sought STI advice/treatment from: VCT mobile
mv770m,Sought STI advice/treatment from: mobile treatment center
mv770n,Sought STI advice/treatment from: young care center
mv770o,Sought STI advice/treatment from: other private medical
mv770p,NA - Sought STI advice/treatment from: CS private
mv770q,NA - Sought STI advice/treatment from: CS private
mv770r,NA - Sought STI advice/treatment from: CS private
mv770s,NA - Sought STI advice/treatment from: CS private
mv770t,NA - Sought STI advice/treatment from: CS other
mv770u,NA - Sought STI advice/treatment from: CS other
mv770v,NA - Sought STI advice/treatment from: CS other
mv770w,NA - Sought STI advice/treatment from: CS other
mv770x,Sought STI advice/treatment from: other
mv774a,HIV transmitted during pregnancy
mv774b,HIV transmitted during delivery
mv774c,HIV transmitted by breastfeeding
mv775,"NA - Knows someone who has, or is suspected of having, HIV"
mv777,Would want HIV infection in family to remain secret
mv778,Willing to care for relative with AIDS
mv779,"A female teacher infected with HIV, but is not sick, should be allowed to continue teaching"
mv780,Children should be taught about condoms to avoid AIDS
mv781,Ever been tested for HIV
mv783,Know a place to get HIV test
mv784a,Place for HIV test: government hospital
mv784b,Place for HIV test: government health center/post
mv784c,Place for HIV test: public stand-alone VCT center
mv784d,Place for HIV test: public family planning clinic
mv784e,Place for HIV test: public mobile clinic
mv784f,Place for HIV test: public field worker
mv784g,Place for HIV test: mobile treatment center
mv784h,Place for HIV test: other public
mv784i,NA - Place for HIV test: CS public
mv784j,NA - Place for HIV test: CS public
mv784k,Place for HIV test: private hospital/clinic/doctor
mv784l,Place for HIV test: VCT mobile
mv784m,Place for HIV test: mobile treatment center
mv784n,Place for HIV test: young care center
mv784o,Place for HIV test: other private medical
mv784p,NA - Place for HIV test: CS private
mv784q,NA - Place for HIV test: CS private
mv784r,NA - Place for HIV test: CS private
mv784s,NA - Place for HIV test: CS other
mv784t,NA - Place for HIV test: CS other
mv784u,NA - Place for HIV test: CS other
mv784v,NA - Place for HIV test: CS other
mv784x,Place for HIV test: other
mv785,Heard about other STIs
mv791,Have ever paid anyone in exchange for sex
mv793,Paid for sex in last 12 months
mv793a,Condom used last time paid for sex in last 12 months
mv793b,Condom used every time paid for sex in last 12 months
mv820,NA - Condom used at first sex
mv822,Wife justified asking husband to use condom if he has STI
mv823,Can get HIV by witchcraft or supernatural means
mv824,Drugs to avoid HIV transmission to baby during pregnancy
mv825,Would buy vegetables from vendor with HIV
mv826,NA - Last time tested for HIV
mv826a,Months ago most recent HIV test
mv827,"NA - Last HIV test: on your own, offered or required"
mv828,Received result from last HIV test
mv829,Place where last HIV test was taken
mv832b,Time since last sex with 2nd to most recent partner
mv832c,Time since last sex with 3rd to most recent partner
mv833a,Used condom every time had sex with most recent partner in last 12 months
mv833b,Used condom every time had sex with 2nd to most recent partner in last 12 months
mv833c,Used condom every time had sex with 3rd to most recent partner in last 12 months
mv834a,Age of most recent partner
mv834b,Age of 2nd to most recent partner
mv834c,Age of 3rd to most recent partner
mv835a,NA - Alcohol consumption at last sex with most recent partner
mv835b,NA - Alcohol consumption at last sex with 2nd to most recent partner
mv835c,NA - Alcohol consumption at last sex with 3rd to most recent partner
mv836,Total lifetime number of sex partners
mv837,NA - Heard of drugs to help HIV infected people live longer
mv844,"NA - Knows someone denied health services for having, or suspected of having, HIV; in last 12 months"
mv845,"NA - Knows someone denied social event for having, or suspected of having, HIV; in last 12 months"
mv846,"NA - Knows someone verbally abused for having, or suspected of having, HIV; in last 12 months"
mv847,NA - People with HIV should be ashamed of themselves
mv848,NA - People with HIV should be blamed for bringing disease to community
mv849,NA - Children 12-14 should be taught to wait for sex until marriage
mv851a,NA - Young men should wait for sex until marriage
mv851b,NA - Most young men wait for sex until marriage
mv851c,NA - Unmarried sexually active men should have only one partner
mv851d,NA - Most unmarried sexually active men have only one partner
mv851e,NA - Married men should only have sex with their wives
mv851f,NA - Most married men only have sex with their wives
mv851g,NA - Young women should wait for sex until marriage
mv851h,NA - Most young women wait for sex until marriage
mv851i,NA - Unmarried sexually active women should have only one partner
mv851j,NA - Most unmarried sexually active women have only one partner
mv851k,NA - Married women should only have sex with their husbands
mv851l,NA - Most married women only have sex with their husbands
mv852a,How long ago first had sex with most recent partner
mv852b,How long ago first had sex with 2nd most recent partner
mv852c,How long ago first had sex with 3rd most recent partner
mv853a,Times in last 12 months had sex with most recent partner
mv853b,Times in last 12 months had sex with 2nd most recent partner
mv853c,Times in last 12 months had sex with 3rd most recent partner
mv854a,Concurrent sexual partners
mv854b,Cumulative concurrent sexual partners
smpool,Pool
smnprovin,New Province
smqlang,Questionnaire language
smlangint,Interview language
sminterp,Interpreter
sm113a,Are you Congolese ?
sm114,Ethnicity
sm809a,Number of cigarettes purchased last time
sm809b,Total spent
sm811a,Use tobacco without smoking
sm811c,Try to stop smoking in the last 12 months
sm811d,Smoking in the workplace in the last 30 days
