variable,description
b0_01,Child is twin
b0_02,Child is twin
b0_03,Child is twin
b0_04,Child is twin
b0_05,Child is twin
b0_06,Child is twin
b0_07,Child is twin
b0_08,Child is twin
b0_09,Child is twin
b0_10,Child is twin
b0_11,Child is twin
b0_12,Child is twin
b0_13,Child is twin
b0_14,Child is twin
b0_15,Child is twin
b0_16,Child is twin
b0_17,Child is twin
b0_18,Child is twin
b0_19,Child is twin
b0_20,Child is twin
b1_01,Month of birth
b1_02,Month of birth
b1_03,Month of birth
b1_04,Month of birth
b1_05,Month of birth
b1_06,Month of birth
b1_07,Month of birth
b1_08,Month of birth
b1_09,Month of birth
b1_10,Month of birth
b1_11,Month of birth
b1_12,Month of birth
b1_13,Month of birth
b1_14,Month of birth
b1_15,Month of birth
b1_16,Month of birth
b1_17,Month of birth
b1_18,Month of birth
b1_19,Month of birth
b1_20,Month of birth
b2_01,Year of birth
b2_02,Year of birth
b2_03,Year of birth
b2_04,Year of birth
b2_05,Year of birth
b2_06,Year of birth
b2_07,Year of birth
b2_08,Year of birth
b2_09,Year of birth
b2_10,Year of birth
b2_11,Year of birth
b2_12,Year of birth
b2_13,Year of birth
b2_14,Year of birth
b2_15,Year of birth
b2_16,Year of birth
b2_17,Year of birth
b2_18,Year of birth
b2_19,Year of birth
b2_20,Year of birth
b3_01,Date of birth (CMC)
b3_02,Date of birth (CMC)
b3_03,Date of birth (CMC)
b3_04,Date of birth (CMC)
b3_05,Date of birth (CMC)
b3_06,Date of birth (CMC)
b3_07,Date of birth (CMC)
b3_08,Date of birth (CMC)
b3_09,Date of birth (CMC)
b3_10,Date of birth (CMC)
b3_11,Date of birth (CMC)
b3_12,Date of birth (CMC)
b3_13,Date of birth (CMC)
b3_14,Date of birth (CMC)
b3_15,Date of birth (CMC)
b3_16,Date of birth (CMC)
b3_17,Date of birth (CMC)
b3_18,Date of birth (CMC)
b3_19,Date of birth (CMC)
b3_20,Date of birth (CMC)
b4_01,Sex of child
b4_02,Sex of child
b4_03,Sex of child
b4_04,Sex of child
b4_05,Sex of child
b4_06,Sex of child
b4_07,Sex of child
b4_08,Sex of child
b4_09,Sex of child
b4_10,Sex of child
b4_11,Sex of child
b4_12,Sex of child
b4_13,Sex of child
b4_14,Sex of child
b4_15,Sex of child
b4_16,Sex of child
b4_17,Sex of child
b4_18,Sex of child
b4_19,Sex of child
b4_20,Sex of child
b5_01,Child is alive
b5_02,Child is alive
b5_03,Child is alive
b5_04,Child is alive
b5_05,Child is alive
b5_06,Child is alive
b5_07,Child is alive
b5_08,Child is alive
b5_09,Child is alive
b5_10,Child is alive
b5_11,Child is alive
b5_12,Child is alive
b5_13,Child is alive
b5_14,Child is alive
b5_15,Child is alive
b5_16,Child is alive
b5_17,Child is alive
b5_18,Child is alive
b5_19,Child is alive
b5_20,Child is alive
b6_01,Age at death
b6_02,Age at death
b6_03,Age at death
b6_04,Age at death
b6_05,Age at death
b6_06,Age at death
b6_07,Age at death
b6_08,Age at death
b6_09,Age at death
b6_10,Age at death
b6_11,Age at death
b6_12,Age at death
b6_13,Age at death
b6_14,Age at death
b6_15,Age at death
b6_16,Age at death
b6_17,Age at death
b6_18,Age at death
b6_19,Age at death
b6_20,Age at death
b7_01,"Age at death (months, imputed)"
b7_02,"Age at death (months, imputed)"
b7_03,"Age at death (months, imputed)"
b7_04,"Age at death (months, imputed)"
b7_05,"Age at death (months, imputed)"
b7_06,"Age at death (months, imputed)"
b7_07,"Age at death (months, imputed)"
b7_08,"Age at death (months, imputed)"
b7_09,"Age at death (months, imputed)"
b7_10,"Age at death (months, imputed)"
b7_11,"Age at death (months, imputed)"
b7_12,"Age at death (months, imputed)"
b7_13,"Age at death (months, imputed)"
b7_14,"Age at death (months, imputed)"
b7_15,"Age at death (months, imputed)"
b7_16,"Age at death (months, imputed)"
b7_17,"Age at death (months, imputed)"
b7_18,"Age at death (months, imputed)"
b7_19,"Age at death (months, imputed)"
b7_20,"Age at death (months, imputed)"
b8_01,Current age of child
b8_02,Current age of child
b8_03,Current age of child
b8_04,Current age of child
b8_05,Current age of child
b8_06,Current age of child
b8_07,Current age of child
b8_08,Current age of child
b8_09,Current age of child
b8_10,Current age of child
b8_11,Current age of child
b8_12,Current age of child
b8_13,Current age of child
b8_14,Current age of child
b8_15,Current age of child
b8_16,Current age of child
b8_17,Current age of child
b8_18,Current age of child
b8_19,Current age of child
b8_20,Current age of child
b9_01,Child lives with whom
b9_02,Child lives with whom
b9_03,Child lives with whom
b9_04,Child lives with whom
b9_05,Child lives with whom
b9_06,Child lives with whom
b9_07,Child lives with whom
b9_08,Child lives with whom
b9_09,Child lives with whom
b9_10,Child lives with whom
b9_11,Child lives with whom
b9_12,Child lives with whom
b9_13,Child lives with whom
b9_14,Child lives with whom
b9_15,Child lives with whom
b9_16,Child lives with whom
b9_17,Child lives with whom
b9_18,Child lives with whom
b9_19,Child lives with whom
b9_20,Child lives with whom
b10_01,Completeness of information
b10_02,Completeness of information
b10_03,Completeness of information
b10_04,Completeness of information
b10_05,Completeness of information
b10_06,Completeness of information
b10_07,Completeness of information
b10_08,Completeness of information
b10_09,Completeness of information
b10_10,Completeness of information
b10_11,Completeness of information
b10_12,Completeness of information
b10_13,Completeness of information
b10_14,Completeness of information
b10_15,Completeness of information
b10_16,Completeness of information
b10_17,Completeness of information
b10_18,Completeness of information
b10_19,Completeness of information
b10_20,Completeness of information
b11_01,Preceding birth interval (months)
b11_02,Preceding birth interval (months)
b11_03,Preceding birth interval (months)
b11_04,Preceding birth interval (months)
b11_05,Preceding birth interval (months)
b11_06,Preceding birth interval (months)
b11_07,Preceding birth interval (months)
b11_08,Preceding birth interval (months)
b11_09,Preceding birth interval (months)
b11_10,Preceding birth interval (months)
b11_11,Preceding birth interval (months)
b11_12,Preceding birth interval (months)
b11_13,Preceding birth interval (months)
b11_14,Preceding birth interval (months)
b11_15,Preceding birth interval (months)
b11_16,Preceding birth interval (months)
b11_17,Preceding birth interval (months)
b11_18,Preceding birth interval (months)
b11_19,Preceding birth interval (months)
b11_20,Preceding birth interval (months)
b12_01,Succeeding birth interval (months)
b12_02,Succeeding birth interval (months)
b12_03,Succeeding birth interval (months)
b12_04,Succeeding birth interval (months)
b12_05,Succeeding birth interval (months)
b12_06,Succeeding birth interval (months)
b12_07,Succeeding birth interval (months)
b12_08,Succeeding birth interval (months)
b12_09,Succeeding birth interval (months)
b12_10,Succeeding birth interval (months)
b12_11,Succeeding birth interval (months)
b12_12,Succeeding birth interval (months)
b12_13,Succeeding birth interval (months)
b12_14,Succeeding birth interval (months)
b12_15,Succeeding birth interval (months)
b12_16,Succeeding birth interval (months)
b12_17,Succeeding birth interval (months)
b12_18,Succeeding birth interval (months)
b12_19,Succeeding birth interval (months)
b12_20,Succeeding birth interval (months)
b13_01,Flag for age at death
b13_02,Flag for age at death
b13_03,Flag for age at death
b13_04,Flag for age at death
b13_05,Flag for age at death
b13_06,Flag for age at death
b13_07,Flag for age at death
b13_08,Flag for age at death
b13_09,Flag for age at death
b13_10,Flag for age at death
b13_11,Flag for age at death
b13_12,Flag for age at death
b13_13,Flag for age at death
b13_14,Flag for age at death
b13_15,Flag for age at death
b13_16,Flag for age at death
b13_17,Flag for age at death
b13_18,Flag for age at death
b13_19,Flag for age at death
b13_20,Flag for age at death
b15_01,Live birth between births
b15_02,Live birth between births
b15_03,Live birth between births
b15_04,Live birth between births
b15_05,Live birth between births
b15_06,Live birth between births
b15_07,Live birth between births
b15_08,Live birth between births
b15_09,Live birth between births
b15_10,Live birth between births
b15_11,Live birth between births
b15_12,Live birth between births
b15_13,Live birth between births
b15_14,Live birth between births
b15_15,Live birth between births
b15_16,Live birth between births
b15_17,Live birth between births
b15_18,Live birth between births
b15_19,Live birth between births
b15_20,Live birth between births
b16_01,Child's line number in household
b16_02,Child's line number in household
b16_03,Child's line number in household
b16_04,Child's line number in household
b16_05,Child's line number in household
b16_06,Child's line number in household
b16_07,Child's line number in household
b16_08,Child's line number in household
b16_09,Child's line number in household
b16_10,Child's line number in household
b16_11,Child's line number in household
b16_12,Child's line number in household
b16_13,Child's line number in household
b16_14,Child's line number in household
b16_15,Child's line number in household
b16_16,Child's line number in household
b16_17,Child's line number in household
b16_18,Child's line number in household
b16_19,Child's line number in household
b16_20,Child's line number in household
v201,Total children ever born
v202,Sons at home
v203,Daughters at home
v204,Sons elsewhere
v205,Daughters elsewhere
v206,Sons who have died
v207,Daughters who have died
v208,Births in last five years
v209,Births in past year
v210,Births in month of interview
v211,Date of first birth (CMC)
v212,Age of respondent at 1st birth
v213,Currently pregnant
v214,Duration of current pregnancy
v215,Time since last menstrual period
v216,Menstruated in last six weeks
v217,Knowledge of ovulatory cycle
v218,Number of living children
v219,Living children + current pregnancy
v220,Living children + current pregnancy (grouped)
v221,Marriage to first birth interval (months)
v222,Last birth to interview (months)
v223,Completeness of current pregnancy information
v224,Entries in birth history
v225,Current pregnancy wanted
v226,Time since last period (comp) (months)
v227,Flag for last period
v228,Ever had a terminated pregnancy
v229,Month pregnancy ended
v230,Year pregnancy ended
v231,CMC pregnancy ended
v232,Completeness of last termination information
v233,Months when pregnancy ended
v234,Other such pregnancies
v235,NA - Index last child prior to maternity-health (calendar)
v237,Birth between last and interview
v238,Births in last three years
v239,NA - Pregnancies terminated before calendar beginning
v240,NA - Month of last termination prior to calendar
v241,NA - Year of last termination prior to calendar
v242,NA - CMC termination ended prior to calendar
v243,NA - Completeness of last termination date prior to calendar
v301,Knowledge of any method
v302,NA - Ever use of any method
v302a,Ever used anything or tried to delay or avoid getting pregnant
v304a_01,Type of method
v304a_02,Type of method
v304a_03,Type of method
v304a_04,Type of method
v304a_05,Type of method
v304a_06,Type of method
v304a_07,Type of method
v304a_08,Type of method
v304a_09,Type of method
v304a_10,Type of method
v304a_11,Type of method
v304a_12,Type of method
v304a_13,Type of method
v304a_14,Type of method
v304a_15,Type of method
v304a_16,Type of method
v304a_17,Type of method
v304a_18,Type of method
v304a_19,Type of method
v304a_20,Type of method
v304_01,Knows method
v304_02,Knows method
v304_03,Knows method
v304_04,Knows method
v304_05,Knows method
v304_06,Knows method
v304_07,Knows method
v304_08,Knows method
v304_09,Knows method
v304_10,Knows method
v304_11,Knows method
v304_12,Knows method
v304_13,Knows method
v304_14,Knows method
v304_15,Knows method
v304_16,Knows method
v304_17,Knows method
v304_18,Knows method
v304_19,Knows method
v304_20,Knows method
v305_01,NA - Ever used method
v305_02,NA - Ever used method
v305_03,NA - Ever used method
v305_04,NA - Ever used method
v305_05,NA - Ever used method
v305_06,NA - Ever used method
v305_07,NA - Ever used method
v305_08,NA - Ever used method
v305_09,NA - Ever used method
v305_10,NA - Ever used method
v305_11,NA - Ever used method
v305_12,NA - Ever used method
v305_13,NA - Ever used method
v305_14,NA - Ever used method
v305_15,NA - Ever used method
v305_16,NA - Ever used method
v305_17,NA - Ever used method
v305_18,NA - Ever used method
v305_19,NA - Ever used method
v305_20,NA - Ever used method
v307_01,Method currently used
v307_02,Method currently used
v307_03,Method currently used
v307_04,Method currently used
v307_05,Method currently used
v307_06,Method currently used
v307_07,Method currently used
v307_08,Method currently used
v307_09,Method currently used
v307_10,Method currently used
v307_11,Method currently used
v307_12,Method currently used
v307_13,Method currently used
v307_14,Method currently used
v307_15,Method currently used
v307_16,Method currently used
v307_17,Method currently used
v307_18,Method currently used
v307_19,Method currently used
v307_20,Method currently used
v310,NA - Living children at first use
v311,NA - Children at first use (grouped)
v312,Current contraceptive method
v313,Current use by method type
v315,Month of start of use of method
v316,Year of start of use of method
v317,Date of start of use of method (CMC)
v318,Completeness of information
v319,Years since sterilization
v320,Age at sterilization
v321,Marital duration at sterilization
v322,Parity at sterilization
v323,Brand of pill used
v323a,Brand of condom used
v325a,NA - Cost of current method (in CURRENCY)
v326,Last source for current users
v327,Last source for users by type
v337,Months of use of current method
v359,NA - Last method discontinued in last 5 years
v360,NA - Reason of last discontinuation
v361,NA - Pattern of use
v362,Intention to use
v363,NA - Preferred future method
v364,Contraceptive use and intention
v367,Wanted last child
v372,NA - Shown pill package
v372a,NA - Shown condom package
v375a,NA - Main reason not using a method
v376,NA - Main reason not to use a method
v376a,NA - Would ever use method if married
v379,NA - Source known for any method
v380,NA -  Source known for any method
v384a,Heard family planning on radio last few months
v384b,Heard family planning on TV last few months
v384c,Heard family planning in newspaper/magazine last few months
v393,Visited by family planning worker last 12 months
v394,Visited health facility last 12 months
v395,"At health facility, told of family planning"
v3a00a,Source of family planning for non-users: government hospital
v3a00b,Source of family planning for non-users: FP clinic
v3a00c,Source of family planning for non-users: government center/health post
v3a00d,Source of family planning for non-users: maternity clinic
v3a00e,Source of family planning for non-users: community Relay
v3a00f,Source of family planning for non-users: other public
v3a00g,NA - Source of family planning for non-users: CS public sector
v3a00h,NA - Source of family planning for non-users: CS public sector
v3a00i,NA - Source of family planning for non-users: CS public sector
v3a00j,Source of family planning for non-users: private hospital/clinic
v3a00k,Source of family planning for non-users: pharmacy
v3a00l,Source of family planning for non-users: private doctor
v3a00m,Source of family planning for non-users: NGO
v3a00n,Source of family planning for non-users: private health center
v3a00o,Source of family planning for non-users: medical Office
v3a00p,Source of family planning for non-users: mobile nurse
v3a00q,Source of family planning for non-users: private fieldworker
v3a00r,Source of family planning for non-users:  other medical private
v3a00s,Source of family planning for non-users: shop
v3a00t,Source of family planning for non-users: religious Institutions
v3a00u,Source of family planning for non-users: parents/friends
v3a00v,Source of family planning for non-users: bar/night club
v3a00w,NA - Source of family planning for non-users: CS other
v3a00x,Source of family planning for non-users: other
v3a00y,Source of family planning for non-users: no source
v3a00z,Source of family planning for non-users: any source
v3a01,NA - Told sterilization would mean no more children
v3a02,Told about side effects
v3a03,Told about side effects by health or family planning worker
v3a04,Told how to deal with side effects
v3a05,Told about other family planning methods
v3a06,Told about other family planning methods by health or family planning worker
v3a07,First source for current method
v3a08a,Reason not using: not married
v3a08b,Reason not using: not having sex
v3a08c,Reason not using: infrequent sex
v3a08d,Reason not using: menopausal/hysterectomy
v3a08e,Reason not using: subfecund/infecund
v3a08f,Reason not using: postpartum amenorrheic
v3a08g,Reason not using: breastfeeding
v3a08h,Reason not using: fatalistic
v3a08i,Reason not using: respondent opposed
v3a08j,Reason not using: husband/partner opposed
v3a08k,Reason not using: others opposed
v3a08l,Reason not using: religious prohibition
v3a08m,Reason not using: knows no method
v3a08n,Reason not using: knows no source
v3a08o,NA - Reason not using: health concerns
v3a08p,Reason not using: fear of side effects/health concerns
v3a08q,Reason not using: lack of access/too far
v3a08r,Reason not using: costs too much
v3a08s,Reason not using: inconvenient to use
v3a08t,Reason not using: interferes with bodys processes
v3a08u,Reason not using: preferred method not available
v3a08v,Reason not using: no method available
v3a08w,NA - Reason not using: CS
v3a08aa,NA - Reason not using: CS
v3a08ab,NA - Reason not using: CS
v3a08ac,NA - Reason not using: CS
v3a08ad,NA - Reason not using: CS
v3a08x,Reason not using: other
v3a08z,Reason not using: don't know
v3a09a,NA - How many pill cycles did get last time
v3a09b,NA - How many condoms did get last time
midx_1,Index to Birth History
midx_2,Index to Birth History
midx_3,Index to Birth History
midx_4,Index to Birth History
midx_5,Index to Birth History
midx_6,Index to Birth History
m1_1,Number of tetanus injections before birth
m1_2,Number of tetanus injections before birth
m1_3,Number of tetanus injections before birth
m1_4,Number of tetanus injections before birth
m1_5,Number of tetanus injections before birth
m1_6,Number of tetanus injections before birth
m1a_1,Number of tetanus injections before pregnancy
m1a_2,Number of tetanus injections before pregnancy
m1a_3,Number of tetanus injections before pregnancy
m1a_4,Number of tetanus injections before pregnancy
m1a_5,Number of tetanus injections before pregnancy
m1a_6,Number of tetanus injections before pregnancy
m1b_1,NA - Month of last tetanus injection before pregnancy
m1b_2,NA - Month of last tetanus injection before pregnancy
m1b_3,NA - Month of last tetanus injection before pregnancy
m1b_4,NA - Month of last tetanus injection before pregnancy
m1b_5,NA - Month of last tetanus injection before pregnancy
m1b_6,NA - Month of last tetanus injection before pregnancy
m1c_1,NA - Year of last tetanus injection before pregnancy
m1c_2,NA - Year of last tetanus injection before pregnancy
m1c_3,NA - Year of last tetanus injection before pregnancy
m1c_4,NA - Year of last tetanus injection before pregnancy
m1c_5,NA - Year of last tetanus injection before pregnancy
m1c_6,NA - Year of last tetanus injection before pregnancy
m1d_1,Years ago received last tetanus injection before pregnancy
m1d_2,Years ago received last tetanus injection before pregnancy
m1d_3,Years ago received last tetanus injection before pregnancy
m1d_4,Years ago received last tetanus injection before pregnancy
m1d_5,Years ago received last tetanus injection before pregnancy
m1d_6,Years ago received last tetanus injection before pregnancy
m1e_1,Last tetanus injection before pregnancy (CMC)
m1e_2,Last tetanus injection before pregnancy (CMC)
m1e_3,Last tetanus injection before pregnancy (CMC)
m1e_4,Last tetanus injection before pregnancy (CMC)
m1e_5,Last tetanus injection before pregnancy (CMC)
m1e_6,Last tetanus injection before pregnancy (CMC)
m2a_1,Prenatal: doctor
m2a_2,Prenatal: doctor
m2a_3,Prenatal: doctor
m2a_4,Prenatal: doctor
m2a_5,Prenatal: doctor
m2a_6,Prenatal: doctor
m2b_1,Prenatal: nurse
m2b_2,Prenatal: nurse
m2b_3,Prenatal: nurse
m2b_4,Prenatal: nurse
m2b_5,Prenatal: nurse
m2b_6,Prenatal: nurse
m2c_1,Prenatal: birth attendant
m2c_2,Prenatal: birth attendant
m2c_3,Prenatal: birth attendant
m2c_4,Prenatal: birth attendant
m2c_5,Prenatal: birth attendant
m2c_6,Prenatal: birth attendant
m2d_1,NA - Prenatal: CS health professional
m2d_2,NA - Prenatal: CS health professional
m2d_3,NA - Prenatal: CS health professional
m2d_4,NA - Prenatal: CS health professional
m2d_5,NA - Prenatal: CS health professional
m2d_6,NA - Prenatal: CS health professional
m2e_1,NA - Prenatal: CS health professional
m2e_2,NA - Prenatal: CS health professional
m2e_3,NA - Prenatal: CS health professional
m2e_4,NA - Prenatal: CS health professional
m2e_5,NA - Prenatal: CS health professional
m2e_6,NA - Prenatal: CS health professional
m2f_1,NA - Prenatal: CS health professional
m2f_2,NA - Prenatal: CS health professional
m2f_3,NA - Prenatal: CS health professional
m2f_4,NA - Prenatal: CS health professional
m2f_5,NA - Prenatal: CS health professional
m2f_6,NA - Prenatal: CS health professional
m2g_1,Prenatal: midwife
m2g_2,Prenatal: midwife
m2g_3,Prenatal: midwife
m2g_4,Prenatal: midwife
m2g_5,Prenatal: midwife
m2g_6,Prenatal: midwife
m2h_1,Prenatal: matron without office
m2h_2,Prenatal: matron without office
m2h_3,Prenatal: matron without office
m2h_4,Prenatal: matron without office
m2h_5,Prenatal: matron without office
m2h_6,Prenatal: matron without office
m2i_1,Prenatal: traditional healer
m2i_2,Prenatal: traditional healer
m2i_3,Prenatal: traditional healer
m2i_4,Prenatal: traditional healer
m2i_5,Prenatal: traditional healer
m2i_6,Prenatal: traditional healer
m2j_1,Prenatal: mom of the neighborhood/village
m2j_2,Prenatal: mom of the neighborhood/village
m2j_3,Prenatal: mom of the neighborhood/village
m2j_4,Prenatal: mom of the neighborhood/village
m2j_5,Prenatal: mom of the neighborhood/village
m2j_6,Prenatal: mom of the neighborhood/village
m2k_1,Prenatal: other
m2k_2,Prenatal: other
m2k_3,Prenatal: other
m2k_4,Prenatal: other
m2k_5,Prenatal: other
m2k_6,Prenatal: other
m2l_1,NA - Prenatal: CS other
m2l_2,NA - Prenatal: CS other
m2l_3,NA - Prenatal: CS other
m2l_4,NA - Prenatal: CS other
m2l_5,NA - Prenatal: CS other
m2l_6,NA - Prenatal: CS other
m2m_1,NA - Prenatal: CS other
m2m_2,NA - Prenatal: CS other
m2m_3,NA - Prenatal: CS other
m2m_4,NA - Prenatal: CS other
m2m_5,NA - Prenatal: CS other
m2m_6,NA - Prenatal: CS other
m2n_1,Prenatal: no one
m2n_2,Prenatal: no one
m2n_3,Prenatal: no one
m2n_4,Prenatal: no one
m2n_5,Prenatal: no one
m2n_6,Prenatal: no one
m3a_1,Assistance: doctor
m3a_2,Assistance: doctor
m3a_3,Assistance: doctor
m3a_4,Assistance: doctor
m3a_5,Assistance: doctor
m3a_6,Assistance: doctor
m3b_1,Assistance: nurse
m3b_2,Assistance: nurse
m3b_3,Assistance: nurse
m3b_4,Assistance: nurse
m3b_5,Assistance: nurse
m3b_6,Assistance: nurse
m3c_1,Assistance: birth attendant
m3c_2,Assistance: birth attendant
m3c_3,Assistance: birth attendant
m3c_4,Assistance: birth attendant
m3c_5,Assistance: birth attendant
m3c_6,Assistance: birth attendant
m3d_1,NA - Assistance: CS health professional
m3d_2,NA - Assistance: CS health professional
m3d_3,NA - Assistance: CS health professional
m3d_4,NA - Assistance: CS health professional
m3d_5,NA - Assistance: CS health professional
m3d_6,NA - Assistance: CS health professional
m3e_1,NA - Assistance: CS health professional
m3e_2,NA - Assistance: CS health professional
m3e_3,NA - Assistance: CS health professional
m3e_4,NA - Assistance: CS health professional
m3e_5,NA - Assistance: CS health professional
m3e_6,NA - Assistance: CS health professional
m3f_1,NA - Assistance: CS health professional
m3f_2,NA - Assistance: CS health professional
m3f_3,NA - Assistance: CS health professional
m3f_4,NA - Assistance: CS health professional
m3f_5,NA - Assistance: CS health professional
m3f_6,NA - Assistance: CS health professional
m3g_1,Assistance: midwife
m3g_2,Assistance: midwife
m3g_3,Assistance: midwife
m3g_4,Assistance: midwife
m3g_5,Assistance: midwife
m3g_6,Assistance: midwife
m3h_1,Assistance: matron without office
m3h_2,Assistance: matron without office
m3h_3,Assistance: matron without office
m3h_4,Assistance: matron without office
m3h_5,Assistance: matron without office
m3h_6,Assistance: matron without office
m3i_1,Assistance: traditional healer
m3i_2,Assistance: traditional healer
m3i_3,Assistance: traditional healer
m3i_4,Assistance: traditional healer
m3i_5,Assistance: traditional healer
m3i_6,Assistance: traditional healer
m3j_1,Assistance: mom of the neighborhood/village
m3j_2,Assistance: mom of the neighborhood/village
m3j_3,Assistance: mom of the neighborhood/village
m3j_4,Assistance: mom of the neighborhood/village
m3j_5,Assistance: mom of the neighborhood/village
m3j_6,Assistance: mom of the neighborhood/village
m3k_1,Assistance: other
m3k_2,Assistance: other
m3k_3,Assistance: other
m3k_4,Assistance: other
m3k_5,Assistance: other
m3k_6,Assistance: other
m3l_1,NA - Assistance: CS other
m3l_2,NA - Assistance: CS other
m3l_3,NA - Assistance: CS other
m3l_4,NA - Assistance: CS other
m3l_5,NA - Assistance: CS other
m3l_6,NA - Assistance: CS other
m3m_1,NA - Assistance: CS other
m3m_2,NA - Assistance: CS other
m3m_3,NA - Assistance: CS other
m3m_4,NA - Assistance: CS other
m3m_5,NA - Assistance: CS other
m3m_6,NA - Assistance: CS other
m3n_1,Assistance: no one
m3n_2,Assistance: no one
m3n_3,Assistance: no one
m3n_4,Assistance: no one
m3n_5,Assistance: no one
m3n_6,Assistance: no one
m4_1,Duration of breastfeeding
m4_2,Duration of breastfeeding
m4_3,Duration of breastfeeding
m4_4,Duration of breastfeeding
m4_5,Duration of breastfeeding
m4_6,Duration of breastfeeding
m5_1,Months of breastfeeding
m5_2,Months of breastfeeding
m5_3,Months of breastfeeding
m5_4,Months of breastfeeding
m5_5,Months of breastfeeding
m5_6,Months of breastfeeding
m6_1,Duration of amenorrhea
m6_2,Duration of amenorrhea
m6_3,Duration of amenorrhea
m6_4,Duration of amenorrhea
m6_5,Duration of amenorrhea
m6_6,Duration of amenorrhea
m7_1,Months of amenorrhea
m7_2,Months of amenorrhea
m7_3,Months of amenorrhea
m7_4,Months of amenorrhea
m7_5,Months of amenorrhea
m7_6,Months of amenorrhea
m8_1,Duration of abstinence
m8_2,Duration of abstinence
m8_3,Duration of abstinence
m8_4,Duration of abstinence
m8_5,Duration of abstinence
m8_6,Duration of abstinence
m9_1,Months of abstinence
m9_2,Months of abstinence
m9_3,Months of abstinence
m9_4,Months of abstinence
m9_5,Months of abstinence
m9_6,Months of abstinence
m10_1,Wanted pregnancy when became pregnant
m10_2,Wanted pregnancy when became pregnant
m10_3,Wanted pregnancy when became pregnant
m10_4,Wanted pregnancy when became pregnant
m10_5,Wanted pregnancy when became pregnant
m10_6,Wanted pregnancy when became pregnant
m11_1,Desired time would have waited
m11_2,Desired time would have waited
m11_3,Desired time would have waited
m11_4,Desired time would have waited
m11_5,Desired time would have waited
m11_6,Desired time would have waited
m13_1,Timing of 1st antenatal check (months)
m13_2,Timing of 1st antenatal check (months)
m13_3,Timing of 1st antenatal check (months)
m13_4,Timing of 1st antenatal check (months)
m13_5,Timing of 1st antenatal check (months)
m13_6,Timing of 1st antenatal check (months)
m14_1,Number of antenatal visits during pregnancy
