variable,description
v149,Educational attainment
v150,Relationship to household head
v151,Sex of household head
v152,Age of household head
v153,Household has: telephone (land-line)
awfactt,All woman factor - total
awfactu,All woman factor - urban/rural
awfactr,All woman factor - regional
awfacte,All woman factor - educational
awfactw,All woman factor - wealth index
v155,Literacy
v156,NA - Ever participated in a literacy program outside of primary
v157,Frequency of reading newspaper or magazine
v158,Frequency of listening to radio
v159,Frequency of watching television
v160,Toilet facilities shared with other households
v161,Type of cooking fuel
v166,NA - Result of salt test for iodine
v167,Number of trips in last 12 months
v168,Away for more than one month in last 12 months
v190,Wealth index
v191,Wealth index factor score (5 decimals)
ml101,Type of mosquito bed net(s) slept under last night
mv101,Province
mv102,Type of place of residence
mv103,NA - Childhood place of residence***
mv104,NA - Years lived in place of residence
mv105,NA - Type of place of previous residence
mv106,Educational level
mv107,Highest year of education (at level in MV106)
mv130,Religion
mv131,Ethnicity
mv133,Total number of years of education
mv134,De facto place of residence
mv135,Usual resident or visitor
mv136,Number of household members (total listed)
mv138,Number of eligible men in household (de facto)
mv149,Educational attainment
mv150,Relationship to household head
mv151,Sex of household head
mv152,Age of household head
mv155,Literacy
mv156,NA - Ever participated in a literacy program (excluding primary school)
mv157,Frequency of reading newspaper or magazine
mv158,Frequency of listening to radio
mv159,Frequency of watching television
mv167,Times away from home in last 12 months
mv168,Away for more than one month in last 12 months
mv190,Wealth index
mv191,Wealth index factor score (5 decimals)
bidx_01,Birth column number
bidx_02,Birth column number
bidx_03,Birth column number
bidx_04,Birth column number
bidx_05,Birth column number
bidx_06,Birth column number
bidx_07,Birth column number
bidx_08,Birth column number
bidx_09,Birth column number
bidx_10,Birth column number
bidx_11,Birth column number
bidx_12,Birth column number
bidx_13,Birth column number
bidx_14,Birth column number
bidx_15,Birth column number
bidx_16,Birth column number
bidx_17,Birth column number
bidx_18,Birth column number
bidx_19,Birth column number
bidx_20,Birth column number
bord_01,Birth order number
bord_02,Birth order number
bord_03,Birth order number
bord_04,Birth order number
bord_05,Birth order number
bord_06,Birth order number
bord_07,Birth order number
bord_08,Birth order number
bord_09,Birth order number
bord_10,Birth order number
bord_11,Birth order number
bord_12,Birth order number
bord_13,Birth order number
bord_14,Birth order number
bord_15,Birth order number
bord_16,Birth order number
bord_17,Birth order number
bord_18,Birth order number
bord_19,Birth order number
bord_20,Birth order number
b0_01,Child is twin
b0_02,Child is twin
b0_03,Child is twin
b0_04,Child is twin
b0_05,Child is twin
b0_06,Child is twin
b0_07,Child is twin
b0_08,Child is twin
b0_09,Child is twin
b0_10,Child is twin
b0_11,Child is twin
b0_12,Child is twin
b0_13,Child is twin
b0_14,Child is twin
b0_15,Child is twin
b0_16,Child is twin
b0_17,Child is twin
b0_18,Child is twin
b0_19,Child is twin
b0_20,Child is twin
b1_01,Month of birth
b1_02,Month of birth
b1_03,Month of birth
b1_04,Month of birth
b1_05,Month of birth
b1_06,Month of birth
b1_07,Month of birth
b1_08,Month of birth
b1_09,Month of birth
b1_10,Month of birth
b1_11,Month of birth
b1_12,Month of birth
b1_13,Month of birth
b1_14,Month of birth
b1_15,Month of birth
b1_16,Month of birth
b1_17,Month of birth
b1_18,Month of birth
b1_19,Month of birth
b1_20,Month of birth
b2_01,Year of birth
b2_02,Year of birth
b2_03,Year of birth
b2_04,Year of birth
b2_05,Year of birth
b2_06,Year of birth
b2_07,Year of birth
b2_08,Year of birth
b2_09,Year of birth
b2_10,Year of birth
b2_11,Year of birth
b2_12,Year of birth
b2_13,Year of birth
b2_14,Year of birth
b2_15,Year of birth
b2_16,Year of birth
b2_17,Year of birth
b2_18,Year of birth
b2_19,Year of birth
b2_20,Year of birth
b3_01,Date of birth (CMC)
b3_02,Date of birth (CMC)
b3_03,Date of birth (CMC)
b3_04,Date of birth (CMC)
b3_05,Date of birth (CMC)
b3_06,Date of birth (CMC)
b3_07,Date of birth (CMC)
b3_08,Date of birth (CMC)
b3_09,Date of birth (CMC)
b3_10,Date of birth (CMC)
b3_11,Date of birth (CMC)
b3_12,Date of birth (CMC)
b3_13,Date of birth (CMC)
b3_14,Date of birth (CMC)
b3_15,Date of birth (CMC)
b3_16,Date of birth (CMC)
b3_17,Date of birth (CMC)
b3_18,Date of birth (CMC)
b3_19,Date of birth (CMC)
b3_20,Date of birth (CMC)
b4_01,Sex of child
b4_02,Sex of child
b4_03,Sex of child
b4_04,Sex of child
b4_05,Sex of child
b4_06,Sex of child
b4_07,Sex of child
b4_08,Sex of child
b4_09,Sex of child
b4_10,Sex of child
b4_11,Sex of child
b4_12,Sex of child
b4_13,Sex of child
b4_14,Sex of child
b4_15,Sex of child
b4_16,Sex of child
b4_17,Sex of child
b4_18,Sex of child
b4_19,Sex of child
b4_20,Sex of child
b5_01,Child is alive
b5_02,Child is alive
b5_03,Child is alive
b5_04,Child is alive
b5_05,Child is alive
b5_06,Child is alive
b5_07,Child is alive
b5_08,Child is alive
b5_09,Child is alive
b5_10,Child is alive
b5_11,Child is alive
b5_12,Child is alive
b5_13,Child is alive
b5_14,Child is alive
b5_15,Child is alive
b5_16,Child is alive
b5_17,Child is alive
b5_18,Child is alive
b5_19,Child is alive
b5_20,Child is alive
b6_01,Age at death
b6_02,Age at death
b6_03,Age at death
b6_04,Age at death
b6_05,Age at death
b6_06,Age at death
b6_07,Age at death
b6_08,Age at death
b6_09,Age at death
b6_10,Age at death
b6_11,Age at death
b6_12,Age at death
b6_13,Age at death
b6_14,Age at death
b6_15,Age at death
b6_16,Age at death
b6_17,Age at death
b6_18,Age at death
b6_19,Age at death
b6_20,Age at death
b7_01,"Age at death (months, imputed)"
b7_02,"Age at death (months, imputed)"
b7_03,"Age at death (months, imputed)"
b7_04,"Age at death (months, imputed)"
b7_05,"Age at death (months, imputed)"
b7_06,"Age at death (months, imputed)"
b7_07,"Age at death (months, imputed)"
b7_08,"Age at death (months, imputed)"
b7_09,"Age at death (months, imputed)"
b7_10,"Age at death (months, imputed)"
b7_11,"Age at death (months, imputed)"
b7_12,"Age at death (months, imputed)"
b7_13,"Age at death (months, imputed)"
b7_14,"Age at death (months, imputed)"
b7_15,"Age at death (months, imputed)"
b7_16,"Age at death (months, imputed)"
b7_17,"Age at death (months, imputed)"
b7_18,"Age at death (months, imputed)"
b7_19,"Age at death (months, imputed)"
b7_20,"Age at death (months, imputed)"
b8_01,Current age of child
b8_02,Current age of child
b8_03,Current age of child
b8_04,Current age of child
b8_05,Current age of child
b8_06,Current age of child
b8_07,Current age of child
b8_08,Current age of child
b8_09,Current age of child
b8_10,Current age of child
b8_11,Current age of child
b8_12,Current age of child
b8_13,Current age of child
b8_14,Current age of child
b8_15,Current age of child
b8_16,Current age of child
b8_17,Current age of child
b8_18,Current age of child
b8_19,Current age of child
b8_20,Current age of child
b9_01,Child lives with whom
b9_02,Child lives with whom
b9_03,Child lives with whom
b9_04,Child lives with whom
b9_05,Child lives with whom
b9_06,Child lives with whom
b9_07,Child lives with whom
b9_08,Child lives with whom
b9_09,Child lives with whom
b9_10,Child lives with whom
b9_11,Child lives with whom
b9_12,Child lives with whom
b9_13,Child lives with whom
b9_14,Child lives with whom
b9_15,Child lives with whom
b9_16,Child lives with whom
b9_17,Child lives with whom
b9_18,Child lives with whom
b9_19,Child lives with whom
b9_20,Child lives with whom
b10_01,Completeness of information
b10_02,Completeness of information
b10_03,Completeness of information
b10_04,Completeness of information
b10_05,Completeness of information
b10_06,Completeness of information
b10_07,Completeness of information
b10_08,Completeness of information
b10_09,Completeness of information
b10_10,Completeness of information
b10_11,Completeness of information
b10_12,Completeness of information
b10_13,Completeness of information
b10_14,Completeness of information
b10_15,Completeness of information
b10_16,Completeness of information
b10_17,Completeness of information
b10_18,Completeness of information
b10_19,Completeness of information
b10_20,Completeness of information
b11_01,Preceding birth interval (months)
b11_02,Preceding birth interval (months)
b11_03,Preceding birth interval (months)
b11_04,Preceding birth interval (months)
b11_05,Preceding birth interval (months)
b11_06,Preceding birth interval (months)
b11_07,Preceding birth interval (months)
b11_08,Preceding birth interval (months)
b11_09,Preceding birth interval (months)
b11_10,Preceding birth interval (months)
b11_11,Preceding birth interval (months)
b11_12,Preceding birth interval (months)
b11_13,Preceding birth interval (months)
b11_14,Preceding birth interval (months)
b11_15,Preceding birth interval (months)
b11_16,Preceding birth interval (months)
b11_17,Preceding birth interval (months)
b11_18,Preceding birth interval (months)
b11_19,Preceding birth interval (months)
b11_20,Preceding birth interval (months)
b12_01,Succeeding birth interval (months)
b12_02,Succeeding birth interval (months)
b12_03,Succeeding birth interval (months)
b12_04,Succeeding birth interval (months)
b12_05,Succeeding birth interval (months)
b12_06,Succeeding birth interval (months)
b12_07,Succeeding birth interval (months)
b12_08,Succeeding birth interval (months)
b12_09,Succeeding birth interval (months)
b12_10,Succeeding birth interval (months)
b12_11,Succeeding birth interval (months)
b12_12,Succeeding birth interval (months)
b12_13,Succeeding birth interval (months)
b12_14,Succeeding birth interval (months)
b12_15,Succeeding birth interval (months)
b12_16,Succeeding birth interval (months)
b12_17,Succeeding birth interval (months)
b12_18,Succeeding birth interval (months)
b12_19,Succeeding birth interval (months)
b12_20,Succeeding birth interval (months)
b13_01,Flag for age at death
b13_02,Flag for age at death
b13_03,Flag for age at death
b13_04,Flag for age at death
b13_05,Flag for age at death
b13_06,Flag for age at death
b13_07,Flag for age at death
b13_08,Flag for age at death
b13_09,Flag for age at death
b13_10,Flag for age at death
b13_11,Flag for age at death
b13_12,Flag for age at death
b13_13,Flag for age at death
b13_14,Flag for age at death
b13_15,Flag for age at death
b13_16,Flag for age at death
b13_17,Flag for age at death
b13_18,Flag for age at death
b13_19,Flag for age at death
b13_20,Flag for age at death
b15_01,Live birth between births
b15_02,Live birth between births
b15_03,Live birth between births
b15_04,Live birth between births
b15_05,Live birth between births
b15_06,Live birth between births
b15_07,Live birth between births
b15_08,Live birth between births
b15_09,Live birth between births
b15_10,Live birth between births
b15_11,Live birth between births
b15_12,Live birth between births
b15_13,Live birth between births
b15_14,Live birth between births
b15_15,Live birth between births
b15_16,Live birth between births
b15_17,Live birth between births
b15_18,Live birth between births
b15_19,Live birth between births
b15_20,Live birth between births
b16_01,Child's line number in household
b16_02,Child's line number in household
b16_03,Child's line number in household
b16_04,Child's line number in household
b16_05,Child's line number in household
b16_06,Child's line number in household
b16_07,Child's line number in household
b16_08,Child's line number in household
b16_09,Child's line number in household
b16_10,Child's line number in household
b16_11,Child's line number in household
b16_12,Child's line number in household
b16_13,Child's line number in household
b16_14,Child's line number in household
b16_15,Child's line number in household
b16_16,Child's line number in household
b16_17,Child's line number in household
b16_18,Child's line number in household
b16_19,Child's line number in household
b16_20,Child's line number in household
v201,Total children ever born
v202,Sons at home
v203,Daughters at home
v204,Sons elsewhere
v205,Daughters elsewhere
v206,Sons who have died
v207,Daughters who have died
v208,Births in last five years
v209,Births in past year
v210,Births in month of interview
v211,Date of first birth (CMC)
v212,Age of respondent at 1st birth
v213,Currently pregnant
v214,Duration of current pregnancy
v215,Time since last menstrual period
v216,Menstruated in last six weeks
v217,Knowledge of ovulatory cycle
v218,Number of living children
v219,Living children + current pregnancy
v220,Living children + current pregnancy (grouped)
v221,Marriage to first birth interval (months)
v222,Last birth to interview (months)
v223,Completeness of current pregnancy information
v224,Entries in birth history
v225,Current pregnancy wanted
v226,Time since last period (comp) (months)
v227,Flag for last period
v228,Ever had a terminated pregnancy
v229,Month pregnancy ended
v230,Year pregnancy ended
v231,CMC pregnancy ended
v232,Completeness of last termination information
v233,Months when pregnancy ended
v234,Other such pregnancies
v235,NA - Index last child prior to maternity-health (calendar)
v237,Birth between last and interview
v238,Births in last three years
v239,NA - Pregnancies terminated before calendar beginning
v240,NA - Month of last termination prior to calendar
v241,NA - Year of last termination prior to calendar
v242,NA - CMC termination ended prior to calendar
v243,NA - Completeness of last termination date prior to calendar
mv201,Total children ever born
mv202,Sons at home
mv203,Daughters at home
mv204,Sons elsewhere
mv205,Daughters elsewhere
mv206,Sons who have died
mv207,Daughters who have died
mv212,Age of respondent at 1st birth
mv213,Partner currently pregnant
mv217,Knowledge of ovulatory cycle
mv218,Number of living children
mv225,NA - Most recent pregnancy wanted***
mv245,Number of women fathered children with
mv246,NA - Married to mother when first child was born***
mv247,Age of most recent child
mv248,Antenatal check-ups for the mother of most recent child
mv249,Respondent present during check-ups for most recent child
mv250,Place of birth of most recent child
mv251,NA - Reason for not delivering most recent child in health facility
mv252,"Amount a child should drink, when that child has diarrhea"
v301,Knowledge of any method
v302,NA - Ever use of any method
v302a,Ever used anything or tried to delay or avoid getting pregnant
v304a_01,Type of method
v304a_02,Type of method
v304a_03,Type of method
v304a_04,Type of method
v304a_05,Type of method
v304a_06,Type of method
v304a_07,Type of method
v304a_08,Type of method
v304a_09,Type of method
v304a_10,Type of method
v304a_11,Type of method
v304a_12,Type of method
v304a_13,Type of method
v304a_14,Type of method
v304a_15,Type of method
v304a_16,Type of method
v304a_17,Type of method
v304a_18,Type of method
v304a_19,Type of method
v304a_20,Type of method
v304_01,Knows method
v304_02,Knows method
v304_03,Knows method
v304_04,Knows method
v304_05,Knows method
v304_06,Knows method
v304_07,Knows method
v304_08,Knows method
v304_09,Knows method
v304_10,Knows method
v304_11,Knows method
v304_12,Knows method
v304_13,Knows method
v304_14,Knows method
v304_15,Knows method
v304_16,Knows method
v304_17,Knows method
v304_18,Knows method
v304_19,Knows method
v304_20,Knows method
v305_01,NA - Ever used method
v305_02,NA - Ever used method
v305_03,NA - Ever used method
v305_04,NA - Ever used method
v305_05,NA - Ever used method
v305_06,NA - Ever used method
v305_07,NA - Ever used method
v305_08,NA - Ever used method
v305_09,NA - Ever used method
v305_10,NA - Ever used method
v305_11,NA - Ever used method
v305_12,NA - Ever used method
v305_13,NA - Ever used method
v305_14,NA - Ever used method
v305_15,NA - Ever used method
v305_16,NA - Ever used method
v305_17,NA - Ever used method
v305_18,NA - Ever used method
v305_19,NA - Ever used method
v305_20,NA - Ever used method
v307_01,Method currently used
v307_02,Method currently used
v307_03,Method currently used
v307_04,Method currently used
v307_05,Method currently used
v307_06,Method currently used
v307_07,Method currently used
v307_08,Method currently used
v307_09,Method currently used
v307_10,Method currently used
v307_11,Method currently used
v307_12,Method currently used
v307_13,Method currently used
v307_14,Method currently used
v307_15,Method currently used
v307_16,Method currently used
v307_17,Method currently used
v307_18,Method currently used
v307_19,Method currently used
v307_20,Method currently used
mv301,Knowledge of any contraceptive method
mv302,NA - Ever use of any contraceptive method
m304a_01,Type of contraceptive method
m304a_02,Type of contraceptive method
m304a_03,Type of contraceptive method
m304a_04,Type of contraceptive method
m304a_05,Type of contraceptive method
m304a_06,Type of contraceptive method
m304a_07,Type of contraceptive method
m304a_08,Type of contraceptive method
m304a_09,Type of contraceptive method
m304a_10,Type of contraceptive method
m304a_11,Type of contraceptive method
m304a_12,Type of contraceptive method
m304a_13,Type of contraceptive method
m304a_14,Type of contraceptive method
m304a_15,Type of contraceptive method
m304a_16,Type of contraceptive method
m304a_17,Type of contraceptive method
m304a_18,Type of contraceptive method
m304a_19,Type of contraceptive method
m304a_20,Type of contraceptive method
mv304_01,Knows contraceptive method
mv304_02,Knows contraceptive method
mv304_03,Knows contraceptive method
mv304_04,Knows contraceptive method
mv304_05,Knows contraceptive method
mv304_06,Knows contraceptive method
mv304_07,Knows contraceptive method
mv304_08,Knows contraceptive method
mv304_09,Knows contraceptive method
mv304_10,Knows contraceptive method
mv304_11,Knows contraceptive method
mv304_12,Knows contraceptive method
mv304_13,Knows contraceptive method
mv304_14,Knows contraceptive method
mv304_15,Knows contraceptive method
mv304_16,Knows contraceptive method
mv304_17,Knows contraceptive method
mv304_18,Knows contraceptive method
mv304_19,Knows contraceptive method
mv304_20,Knows contraceptive method
mv305_01,NA - Ever used contraceptive method
mv305_02,NA - Ever used contraceptive method
mv305_03,NA - Ever used contraceptive method
mv305_04,NA - Ever used contraceptive method
mv305_05,NA - Ever used contraceptive method
mv305_06,NA - Ever used contraceptive method
mv305_07,NA - Ever used contraceptive method
mv305_08,NA - Ever used contraceptive method
mv305_09,NA - Ever used contraceptive method
mv305_10,NA - Ever used contraceptive method
mv305_11,NA - Ever used contraceptive method
mv305_12,NA - Ever used contraceptive method
mv305_13,NA - Ever used contraceptive method
mv305_14,NA - Ever used contraceptive method
mv305_15,NA - Ever used contraceptive method
mv305_16,NA - Ever used contraceptive method
mv305_17,NA - Ever used contraceptive method
mv305_18,NA - Ever used contraceptive method
mv305_19,NA - Ever used contraceptive method
mv305_20,NA - Ever used contraceptive method
mv307_01,Contraceptive method currently used
mv307_02,Contraceptive method currently used
mv307_03,Contraceptive method currently used
mv307_04,Contraceptive method currently used
mv307_05,Contraceptive method currently used
mv307_06,Contraceptive method currently used
mv307_07,Contraceptive method currently used
mv307_08,Contraceptive method currently used
mv307_09,Contraceptive method currently used
mv307_10,Contraceptive method currently used
mv307_11,Contraceptive method currently used
mv307_12,Contraceptive method currently used
mv307_13,Contraceptive method currently used
mv307_14,Contraceptive method currently used
mv307_15,Contraceptive method currently used
mv307_16,Contraceptive method currently used
mv307_17,Contraceptive method currently used
mv307_18,Contraceptive method currently used
mv307_19,Contraceptive method currently used
mv307_20,Contraceptive method currently used
v310,NA - Living children at first use
v311,NA - Children at first use (grouped)
v312,Current contraceptive method
v313,Current use by method type
v315,Month of start of use of method
v316,Year of start of use of method
v317,Date of start of use of method (CMC)
v318,Completeness of information
v319,Years since sterilization
v320,Age at sterilization
v321,Marital duration at sterilization
v322,Parity at sterilization
v323,Brand of pill used
v323a,Brand of condom used
v325a,NA - Cost of current method (in CURRENCY)
v326,Last source for current users
v327,Last source for users by type
v337,Months of use of current method
v359,NA - Last method discontinued in last 5 years
v360,NA - Reason of last discontinuation
v361,NA - Pattern of use
v362,Intention to use
v363,NA - Preferred future method
v364,Contraceptive use and intention
v367,Wanted last child
v372,NA - Shown pill package
v372a,NA - Shown condom package
v375a,NA - Main reason not using a method
v376,NA - Main reason not to use a method
v376a,NA - Would ever use method if married
v379,NA - Source known for any method
v380,NA -  Source known for any method
v384a,Heard family planning on radio last few months
v384b,Heard family planning on TV last few months
v384c,Heard family planning in newspaper/magazine last few months
v393,Visited by family planning worker last 12 months
v394,Visited health facility last 12 months
v395,"At health facility, told of family planning"
v3a00a,Source of family planning for non-users: government hospital
v3a00b,Source of family planning for non-users: FP clinic
v3a00c,Source of family planning for non-users: government center/health post
v3a00d,Source of family planning for non-users: maternity clinic
v3a00e,Source of family planning for non-users: community Relay
v3a00f,Source of family planning for non-users: other public
v3a00g,NA - Source of family planning for non-users: CS public sector
v3a00h,NA - Source of family planning for non-users: CS public sector
v3a00i,NA - Source of family planning for non-users: CS public sector
v3a00j,Source of family planning for non-users: private hospital/clinic
v3a00k,Source of family planning for non-users: pharmacy
v3a00l,Source of family planning for non-users: private doctor
v3a00m,Source of family planning for non-users: NGO
v3a00n,Source of family planning for non-users: private health center
v3a00o,Source of family planning for non-users: medical Office
v3a00p,Source of family planning for non-users: mobile nurse
v3a00q,Source of family planning for non-users: private fieldworker
v3a00r,Source of family planning for non-users:  other medical private
v3a00s,Source of family planning for non-users: shop
v3a00t,Source of family planning for non-users: religious Institutions
v3a00u,Source of family planning for non-users: parents/friends
v3a00v,Source of family planning for non-users: bar/night club
v3a00w,NA - Source of family planning for non-users: CS other
v3a00x,Source of family planning for non-users: other
v3a00y,Source of family planning for non-users: no source
v3a00z,Source of family planning for non-users: any source
v3a01,NA - Told sterilization would mean no more children
v3a02,Told about side effects
v3a03,Told about side effects by health or family planning worker
v3a04,Told how to deal with side effects
v3a05,Told about other family planning methods
v3a06,Told about other family planning methods by health or family planning worker
v3a07,First source for current method
v3a08a,Reason not using: not married
v3a08b,Reason not using: not having sex
v3a08c,Reason not using: infrequent sex
v3a08d,Reason not using: menopausal/hysterectomy
v3a08e,Reason not using: subfecund/infecund
v3a08f,Reason not using: postpartum amenorrheic
v3a08g,Reason not using: breastfeeding
v3a08h,Reason not using: fatalistic
v3a08i,Reason not using: respondent opposed
v3a08j,Reason not using: husband/partner opposed
v3a08k,Reason not using: others opposed
v3a08l,Reason not using: religious prohibition
v3a08m,Reason not using: knows no method
v3a08n,Reason not using: knows no source
v3a08o,NA - Reason not using: health concerns
v3a08p,Reason not using: fear of side effects/health concerns
v3a08q,Reason not using: lack of access/too far
v3a08r,Reason not using: costs too much
v3a08s,Reason not using: inconvenient to use
v3a08t,Reason not using: interferes with bodyü¾Œ£¤¼s processes
v3a08u,Reason not using: preferred method not available
v3a08v,Reason not using: no method available
v3a08w,NA - Reason not using: CS
v3a08aa,NA - Reason not using: CS
v3a08ab,NA - Reason not using: CS
v3a08ac,NA - Reason not using: CS
v3a08ad,NA - Reason not using: CS
v3a08x,Reason not using: other
v3a08z,Reason not using: don't know
v3a09a,NA - How many pill cycles did get last time
v3a09b,NA - How many condoms did get last time
mv312,Current contraceptive method
mv313,Current contraceptive by method type
mv323a,Brand of condom used
mv325b,NA - Cost of condoms (in CURRENCY) last time obtained
mv372a,NA - Interviewer shown condom package
mv384a,On radio heard about Family Planning in the last few months
mv384b,On TV saw about Family Planning in the last few months
mv384c,In newspaper read about Family Planning in the last few months
mv395,Discussed Family Planning with health worker in last few months
mv396,NA - Possible for a breastfeeding woman to get pregnant
mv3a09b,NA - Number of condoms did get last time
mv3b17,Source of condoms
mv3b25a,"Contraception is woman's business, man should not worry"
mv3b25b,Women who use contraception become promiscuous
mv463a,Smokes cigarettes
mv463b,Smokes pipe
mv463c,Uses chewing tobacco
mv463d,Uses snuff
mv463e,Smokes cigars/natural tobacco wrapped by hand
mv463f,NA - Smokes CS
mv463g,NA - Smokes CS
mv463x,Smokes other
mv463z,Smokes nothing
mv464,Number of cigarettes in last 24 hours
mv474,NA - Heard of tuberculosis or TB
mv474a,NA - Tuberculosis spread by: air through coughing or sneezing
mv474b,NA - Tuberculosis spread by: sharing utensils
mv474c,NA - Tuberculosis spread by: touching a person with TB
mv474d,NA - Tuberculosis spread by: food
mv474e,NA - Tuberculosis spread by: sexual contact
mv474f,NA - Tuberculosis spread by: mosquito bites
mv474g,NA - Tuberculosis spread by: CS
mv474h,NA - Tuberculosis spread by: CS
mv474i,NA - Tuberculosis spread by: CS
mv474j,NA - Tuberculosis spread by: CS
mv474x,NA - Tuberculosis spread by: other
mv474z,NA - Don't know how tuberculosis is spread
mv475,NA - Tuberculosis can be cured
mv476,NA - Would want tuberculosis infection in family to remain secret
mv477,Number of injections in last 12 months
mv478,Number of injections administered by a health worker
mv479,NA - Place where given injection by health worker
mv480,"Syringe and needle from new, unopened package"
mv481,Covered by health insurance
mv481a,Health insurance type: mutual/community organization
mv481b,Health insurance type: provided by employer
mv481c,Health insurance type: social security
mv481d,Health insurance type: private/commercially purchased
mv481e,NA - Health insurance type: CS
mv481f,NA - Health insurance type: CS
mv481g,NA - Health insurance type: CS
mv481h,NA - Health insurance type: CS
mv481x,Health insurance type: other
mv482a,NA - Arrange care of biological children under age 18***
mv482b,NA - Primary caregiver of children under age 18***
mv482c,NA - Arrange care of non-biological children < 18***
mv483,NA - Respondent circumcised
mv483a,NA - Age at circumcision
mv483b,NA - Who performed the circumcision
mv483c,NA - Place where circumcision was done
v401,Last birth a caesarean section
v404,Currently breastfeeding
v405,Currently amenorrheic
v406,Currently abstaining
v407,NA - Number of times breastfed during night
v408,NA - Number of times breastfed during day
v409,Gave child plain water
v409a,NA - Gave child sugar water
v410,Gave child juice
v410a,NA - Gave child tea or coffee
v411,"Gave child tinned, powdered or fresh milk"
v411a,Gave child baby formula
v412,NA - Gave child fresh milk
v412a,"Gave child fortified baby food (cerelac, etc)"
v412b,NA - Gave child other porridge/gruel
v412c,Gave child soup/clear broth
v413,Gave child other liquid
v413a,NA - Gave child CS liquid
v413b,NA - Gave child CS liquid
v413c,NA - Gave child CS liquid
v413d,NA - Gave child CS liquid
v414a,NA - Gave child CS foods
v414b,NA - Gave child CS foods
v414c,NA - Gave child CS foods
v414d,NA - Gave child CS foods
v414e,"Gave child bread, noodles, other made from grains"
v414f,"Gave child potatoes, cassava, or other tubers"
v414g,Gave child eggs
v414h,"Gave child meat (beef, pork, lamb, chicken, etc)"
v414i,"Gave child pumpkin, carrots, squash (yellow or orange inside)"
v414j,Gave child any dark green leafy vegetables
v414k,"Gave child mangoes, papayas, other vitamin A fruits"
v414l,Gave child any other fruits
v414m,"Gave child liver, heart, other organs"
v414n,Gave child fish or shellfish
v414o,"Gave child food made from beans, peas, lentils, nuts"
v414p,"Gave child cheese, yogurt, other milk products"
