variable,description
hv246g,Pigs
hv246h,Duck
hv246i,NA - Owns CS
hv246j,NA - Owns CS
hv246k,NA - Owns CS
hv247,Has bank account
hv252,Frequency household members smoke inside the house
hv253,NA - Has dwelling been sprayed against mosquitoes in last 12 months
hv253a,NA - Dwelling sprayed by: government worker/program
hv253b,NA - Dwelling sprayed by: private company
hv253c,NA - Dwelling sprayed by: NGO
hv253d,NA - Dwelling sprayed by: CS
hv253e,NA - Dwelling sprayed by: CS
hv253f,NA - Dwelling sprayed by: CS
hv253g,NA - Dwelling sprayed by: CS
hv253h,NA - Dwelling sprayed by: CS
hv253x,NA - Dwelling sprayed by: other
hv253z,NA - Dwelling sprayed by: don't know
hv270,Wealth index
hv271,Wealth index factor score (5 decimals)
hml1,Number of mosquito bed nets
hml1a,Number of mosquito bed nets with specific information
hml2,Number of children under mosquito bed net previous night
chl0,NA - Number of de-jure children 5-14 for child labor module
shpool,Pool
shnprovin,New Province
sh110f,Has generator
sh110g,Has stove/Cooker
sh110h,Has chair
sh110i,Has bed
sh110j,Has lights
sh110k,Has oven
sh110l,Has hoe
sh110m,Has sewing Machine
sh118h,Has a canoe with a motor
sh118i,Has computer
sh118j,Rent house
sh136aa,How can contract malaria : mosquito bite
sh136ab,How can contract malaria : bites other insects
sh136ac,How can contract malaria : blood transfusion
sh136ad,How can contract malaria : mother to child
sh136ae,How can contract malaria : drinking water
sh136af,How can contract malaria : sorcery
sh136ax,How can contract malaria : other
sh136az,How can contract malaria : don't know
sh136ba,Principal symptom of malaria : fever
sh136bb,Principal symptom of malaria : headache
sh136bc,Principal symptom of malaria : generalized pain
sh136bd,Principal symptom of malaria : diarrhea
sh136be,Principal symptom of malaria : coma
sh136bf,Principal symptom of malaria : shiver
sh136bg,Principal symptom of malaria : convulsions
sh136bx,Principal symptom of malaria : other
sh136bz,Principal symptom of malaria : don't know
sh136ca,Best way to prevent malaria : nothing
sh136cb,Best way to prevent malaria : using insecticides
sh136cc,Best way to prevent malaria : using smoking stick
sh136cd,Best way to prevent malaria : fumigation with plant species
sh136ce,Best way to prevent malaria : using a mosquito net impregnated with insecticide
sh136cf,Best way to prevent malaria : using a simple mosquito net
sh136cg,Best way to prevent malaria : making sure surroundings are clean
sh136cx,Best way to prevent malaria : other
sh242,Total amount of money spent on health in last 4 weeks
sh252a,Rank of the child
sh252b,Child line number
sh252c,Child age
sh256a,Worked on plot / farm / food garden / looked after animals
sh256b,Helped in family / relative's business/ran own business
sh256c,Produced/sold articles/handicrafts/clothes/food or agricultural products
sh256d,Engaged in any other activity
sh258,Number of hours spent on these activities
sh259,Activities require carrying heavy loads
sh260,Activities require working with dangerous tools or operating heavy machinery
sh261a,"Child exposed to dust, fumes or gas"
sh261b,"Child exposed to extreme cold, heat or humidity"
sh261c,Child exposed to loud noise or vibration
sh261d,Child required to work at heights
sh261e,Child required to work with chemicals or explosives
sh261f,"Child exposed to other things, processes or conditions bad for health or safety"
sh262,Fetch water or collect firewood for household use
sh263,Number of hours spent on fetching water or collecting firewood for household use
sh264a,Shopping for household
sh264b,Repair household equipment
sh264c,Cooking / cleaning utensils /house
sh264d,Washing clothes
sh264e,Caring for children
sh264f,Caring for old / sick people
sh264g,Other household tasks
sh266,Number of hours in these activities
sh271,Child line number
sh272a,Revoke privileges to child
sh272b,Explained why behavior was wrong
sh272c,Shook child
sh272d,Yelled or screamed at child
sh272e,Gave child something else to do
sh272f,Hit child on the bottom with hands
sh272g,"Hit child on the bottom or elsewhere with belt, brush, stick, etc."
sh272h,"Called child dumb, lazy or another name"
sh272i,"Hit or slapped child on the face, head or ears"
sh272j,"Hit or slapped child on the hand, arm or leg"
sh272k,"Beat child again and again, as strong as possible"
sh273,Child needs to be physically punished to be brought up properly
schweigh,Weight for child discipline
hv101,Relationship to head
hv102,Usual resident
hv103,Slept last night
hv104,Sex of household member
hv105,Age of household members
hv106,Highest educational level attained
hv107,Highest year of education completed
hv108,Education completed in single years
hv109,Educational attainment
hv110,NA - Member still in school
hv111,Mother alive
hv112,Mother's line number
hv113,Father alive
hv114,Father's line number
hv115,Current marital status
hv116,"Currently, formerly, never married"
hv117,Eligibility for female interview
hv118,Eligibility for male interview
hv120,Children eligibility for height/weight and hemoglobin
hv121,Member attended school during current school year
hv122,Educational level during current school year
hv123,Grade of education during current school year
hv124,Education in single years - current school year
hv125,NA - Member attended school during previous school year
hv126,NA - Educational level during previous school year
hv127,NA - Grade of education during previous school year
hv128,NA - Education in single years - previous school year
hv129,NA - School attendance status
hv140,Member has a birth certificate
idxh4,Index to Household Schedule
sh21,In last six month addmitted and stayed overnight in health facility
sh22,Eligible for in-patient module
sh23,In last 4 weeks received care without staying overnight
sh24,Eligible for out-patient module
sh276,Child line number in the Household
sh277,Child sex
sh278,Child age
sh279,"Has any serious delay in sitting standing, or walking"
sh280,"Has difficulty seeing, either in the daytime or at night"
sh281,"Has any difficulty hearing (uses hearing aid, hears with difficulty or completely deaf)"
sh282,Seems to understand what you are saying
sh283,Have difficulty in walking or moving his/her arms or does he/she have weakness and/or stiffness in the arms or legs
sh284,"Sometimes have fits, become rigid, or lose consciousness"
sh285,Learn to do things like other children his/her age
sh286,Speak at all (can he/she make him or herself understood in words; can he/she say any recognizable words)
sh288,Speech in any way different from normal
sh289,Name at least one object
sh290,"Appear in any way mentally backward, dull or slow"
sh310a,Read consent statement for vaccination
sh312,Bar code for blood sample for vaccination
sh318a,Child suffering any illnesses or symptoms: prostration
sh318b,Child suffering any illnesses or symptoms: loss of consciousness
sh318c,Child suffering any illnesses or symptoms: difficult breathing
sh318d,Child suffering any illnesses or symptoms: convulsions
sh318e,Child suffering any illnesses or symptoms: bleeding
sh318f,Child suffering any illnesses or symptoms:  jaundice
sh318g,Child suffering any illnesses or symptoms: dark urine
sh318h,Child suffering any illnesses or symptoms: vomiting
sh318y,Child suffering any illnesses or symptoms: no symptoms
sh322,Taking cta to treat the malaria
sh325,Acceptance of medicine
sh327,Result code of malaria treatment and referral
shroug,Result of Vaccination test : measles
shorei,Result of Vaccination test : mumps
shrube,Result of Vaccination test : rubella
shvari,Result of Vaccination test : chickenpox
shteta,Result of Vaccination test : tetanus
ha0,Index to Household Schedule
ha1,Woman's age in years
ha2,Woman's weight in kilograms (1 decimal)
ha3,Woman's height in centimeters (1 decimal)
ha4,Height/Age percentile
ha5,Height/Age standard deviation
ha6,Height/Age percent ref. median
ha11,Weight/Height standard deviation (DHS)
ha12,Weight/Height percent ref. median (DHS)
ha12a,Weight/Height percent ref. median (Fog)
ha12b,Weight/Height percent ref. median (WHO)
ha13,Result of measurement - height/weight
ha32,Date of birth (CMC)
ha33,Completeness of HA32 information
ha35,Smoking (cigarettes in last 24 hours)
ha40,Body Mass Index
ha41,Rohrer's index
ha50,Under age 18
ha51,Line number of parent/caretaker
ha52,Read consent statement - hemoglobin
ha53,Hemoglobin level (g/dl - 1 decimal)
ha54,Currently pregnant
ha55,Result of measurement - hemoglobin
ha56,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
ha57,Anemia level
ha58,NA - Agrees to referral - anemia
ha60,Marital status
ha61,Read consent statement - HIV
ha62,Bar code for HIV blood sample
ha63,Result of measurement - HIV
ha64,Consent for additional tests
ha65,Result of woman's individual interview
ha66,Woman's highest educational level
ha67,Woman's highest year of education
ha68,Woman's highest educational level (for preliminary and final report)
ha69,HIV weight (6 decimals)
ha70,Interviewer that took blood for HIV testing
hc0,Index to Household Schedule
hc1,Child's age in months
hc2,Child's weight in kilograms (1 decimal)
hc3,Child's height in centimeters (1 decimal)
hc4,Height/Age percentile
hc5,Height/Age standard deviation
hc6,Height/Age percent of ref. median
hc7,Weight/Age percentile
hc8,Weight/Age standard deviation
hc9,Weight/Age percent of ref. median
hc10,Weight/Height percentile
hc11,Weight/Height standard deviation
hc12,Weight/Height percent of ref. median
hc13,Result of measurement - height/weight
hc15,Height: lying or standing
hc16,Day of birth
hc17,Date measured (day)
hc18,Date measured (month)
hc19,Date measured (year)
hc27,Sex
hc30,Month of birth
hc31,Year of birth
hc32,Date of birth (CMC)
hc33,Completeness of HC32 information
hc51,Line number of parent/caretaker
hc52,Read consent statement - hemoglobin
hc53,Hemoglobin level (g/dl - 1 decimal)
hc55,Result of measurement - hemoglobin
hc56,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
hc57,Anemia level
hc58,NA - Agrees to referral - anemia
hc60,Mother's line number (woman's questionnaire)
hc61,Mother's highest educational level
hc62,Mother's highest year of education
hc63,Preceding birth interval (months)
hc64,Birth order number
hc68,Mother's highest educational level (for preliminary and final report)
hc70,Height/Age standard deviation (new WHO)
hc71,Weight/Age standard deviation (new WHO)
hc72,Weight/Height standard deviation (new WHO)
hc73,BMI standard deviation (new WHO)
hb0,Index to Household Schedule
hb1,Man's age in years
hb2,NA - Man's weight in kilograms (1 decimal)
hb3,NA - Man's height in centimeters (1 decimal)
hb4,NA - Height/Age percentile
hb5,Height/Age standard deviation
hb6,NA - Height/Age percent ref. median
hb11,Weight/Height standard deviation (DHS)
hb12,NA - Weight/Height percent ref. median (DHS)
hb12a,NA - Weight/Height percent ref. median (Fog)
hb12b,NA - Weight/Height percent ref. median (WHO)
hb13,NA - Result of measurement - height/weight
hb32,Date of birth (CMC)
hb33,Completeness of HB32 information
hb35,Smoking (cigarettes in last 24 hours)
hb40,NA - Body Mass Index
hb41,NA - Rohrer's index
hb50,Under age 18
hb51,Line number of parent/caretaker
hb52,Read consent statement - hemoglobin
hb53,Hemoglobin level (g/dl - 1 decimal)
hb55,Result of measurement - hemoglobin
hb56,Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb57,Anemia level
hb58,NA - Agrees to referral - anemia
hb60,Marital status
hb61,Read consent statement - HIV
hb62,Bar code for HIV blood sample
hb63,Result of measurement - HIV
hb64,Consent for additional tests
hb65,Result of man's individual interview
hb66,Man's highest educational level
hb67,Man's highest year of education
hb68,Man's highest educational level (for preliminary and final report)
hb69,HIV weight (6 decimals)
hb70,Interviewer that took blood for HIV testing
hmlidx,Mosquito Bed Net Designation Number
hml3,Net observed by interviewer
hml4,Months ago net obtained
hml5,Net treated with insecticide when bought
hml6,Net treatment status
hml7,Brand of net
hml8,Net treated since receiving
hml9,Time since last re-treatment (months)
hml10,Insecticide-Treated Net (ITN)
hml11,Number of persons who slept under this net
hml21,Someone slept under this net last night
hmla,Line number of person who slept in this net
hmlb,Line number of person who slept in this net
hmlc,Line number of person who slept in this net
hmld,Line number of person who slept in this net
hmle,NA - Line number of person who slept in this net
hmhidx,Index to Household Schedule
hml12,Type of Mosquito Bed Net(s) person slept under last night
hml13,Net Designation Number (HMLIDX) for 1st net person slept under last night
hml14,Net Designation Number (HMLIDX) for 2nd net person slept under last night
hml15,NA - Net Designation Number (HMLIDX) for 3rd net person slept under last night
hml16,Corrected age from Individual file
hml16a,Age in months (for children)
hml17,Flag for age from Individual file
hml18,Pregnancy status from Individual file
hml19,Person slept under an ever-treated net
hml20,Person slept under an LLIN net
hml30,Line number of parent/caretaker (for malaria testing)
hml31,Read consent statement for malaria
hml32,Final result of malaria from blood smear test
hml32a,NA - Presence of species: falciparum (Pf)
hml32b,NA - Presence of species: malariae (Pm)
hml32c,NA - Presence of species: ovale (Po)
hml32d,NA - Presence of species: vivax (Pv)
hml32e,NA - Presence of species: CS
hml32f,NA - Presence of species: CS
hml32g,NA - Presence of species: CS
hml33,Result of malaria measurement
hml34,Bar code for blood smear sample
hml35,Result of malaria rapid test
shcol3a,Column number - inpatient module
sh203,Line number of member
sh205,Where did patient hospitalized
sh206,Main reason for hospitalization
sh207,Total amount of money spent
sh207aa,Money spent - hospitalization
sh207ab,Money spent - drugs
sh207ac,Money spent - lab tests
sh207ad,Money spent - medical imaging/other tests
sh207ae,Money spent - transportation
sh207af,Money spent - other
sh208,Stayed overnight at a facility another time in last six months
sh209,Where did patient hospitalized last time
sh210,Main reason for hospitalization
sh211,Total amount of money spent
sh211aa,Money spent - hospitalization
sh211ab,Money spent - drugs
sh211ac,Money spent - lab tests
sh211ad,Money spent - medical imaging/other tests
sh211ae,Money spent - transportation
sh211af,Money spent - other
sh212,Stayed overnight at a facility another time in last six months
sh213,Where did patient hospitalized
sh214,Main reason for hospitalization
sh215,Total amount of money spent
sh215aa,Money spent - hospitalization
sh215ab,Money spent - drugs
sh215ac,Money spent - lab tests
sh215ad,Money spent - medical imaging/other tests
sh215ae,Money spent - transportation
sh215af,Money spent - other
sh216,Besides three stays stayed overnight another time
sh217,Total times stayed overnight
sh218,Covered by health insurance
sh219,Type of insurance
shcol3b,Column number outpatient module
sh223,Line number of member
sh225,Type of health provider
sh226,Main reason to seek care
sh227,Total amount of money spent
sh227aa,Money spent - consultation fees
sh227ab,Money spent - drugs
sh227ac,Money spent - lab tests
sh227ad,Money spent - medical images
sh227ae,Money spent - medical goods
sh227af,Money spent - transportation
sh227ag,Money spent - other
sh228,Got care another time in last four weeks
sh229,Where did patient stay
sh230,Main reason to seek care
sh231,Total amount of money spent
sh231aa,Money spent - consultation fees
sh231ab,Money spent - drugs
sh231ac,Money spent - lab tests
sh231ad,Money spent - medical images
sh231ae,Money spent - medical goods
sh231af,Money spent - transportation
sh231ag,Money spent - other
sh232,Paid another visit seeking care
sh233,Where did patient stay
sh234,Main reason to seek care
sh235,Total amount of money spent
sh235aa,Money spent - consultation fees
sh235ab,Money spent - drugs
sh235ac,Money spent - lab tests
sh235ad,Money spent - medical images
sh235ae,Money spent - medical goods
sh235af,Money spent - transportation
sh235ag,Money spent - other
sh236,Besides three visits another visit
sh237,Total number of outpatient visits
sh238,How many time money was spent ?
sh239,Covered by health insurance
sh240,Type of insurance
