variable,description
sh110k,Has oven
sh110l,Has hoe
sh110m,Has sewing Machine
sh118h,Has a canoe with a motor
sh118i,Has computer
sh118j,Rent house
sh136aa,How can contract malaria : mosquito bite
sh136ab,How can contract malaria : bites other insects
sh136ac,How can contract malaria : blood transfusion
sh136ad,How can contract malaria : mother to child
sh136ae,How can contract malaria : drinking water
sh136af,How can contract malaria : sorcery
sh136ax,How can contract malaria : other
sh136az,How can contract malaria : don't know
sh136ba,Principal symptom of malaria : fever
sh136bb,Principal symptom of malaria : headache
sh136bc,Principal symptom of malaria : generalized pain
sh136bd,Principal symptom of malaria : diarrhea
sh136be,Principal symptom of malaria : coma
sh136bf,Principal symptom of malaria : shiver
sh136bg,Principal symptom of malaria : convulsions
sh136bx,Principal symptom of malaria : other
sh136bz,Principal symptom of malaria : don't know
sh136ca,Best way to prevent malaria : nothing
sh136cb,Best way to prevent malaria : using insecticides
sh136cc,Best way to prevent malaria : using smoking stick
sh136cd,Best way to prevent malaria : fumigation with plant species
sh136ce,Best way to prevent malaria : using a mosquito net impregnated with insecticide
sh136cf,Best way to prevent malaria : using a simple mosquito net
sh136cg,Best way to prevent malaria : making sure surroundings are clean
sh136cx,Best way to prevent malaria : other
sh242,Total amount of money spent on health in last 4 weeks
sh252a,Rank of the child
sh252b,Child line number
sh252c,Child age
sh256a,Worked on plot / farm / food garden / looked after animals
sh256b,Helped in family / relative's business/ran own business
sh256c,Produced/sold articles/handicrafts/clothes/food or agricultural products
sh256d,Engaged in any other activity
sh258,Number of hours spent on these activities
sh259,Activities require carrying heavy loads
sh260,Activities require working with dangerous tools or operating heavy machinery
sh261a,"Child exposed to dust, fumes or gas"
sh261b,"Child exposed to extreme cold, heat or humidity"
sh261c,Child exposed to loud noise or vibration
sh261d,Child required to work at heights
sh261e,Child required to work with chemicals or explosives
sh261f,"Child exposed to other things, processes or conditions bad for health or safety"
sh262,Fetch water or collect firewood for household use
sh263,Number of hours spent on fetching water or collecting firewood for household use
sh264a,Shopping for household
sh264b,Repair household equipment
sh264c,Cooking / cleaning utensils /house
sh264d,Washing clothes
sh264e,Caring for children
sh264f,Caring for old / sick people
sh264g,Other household tasks
sh266,Number of hours in these activities
sh271,Child line number
sh272a,Revoke privileges to child
sh272b,Explained why behavior was wrong
sh272c,Shook child
sh272d,Yelled or screamed at child
sh272e,Gave child something else to do
sh272f,Hit child on the bottom with hands
sh272g,"Hit child on the bottom or elsewhere with belt, brush, stick, etc."
sh272h,"Called child dumb, lazy or another name"
sh272i,"Hit or slapped child on the face, head or ears"
sh272j,"Hit or slapped child on the hand, arm or leg"
sh272k,"Beat child again and again, as strong as possible"
sh273,Child needs to be physically punished to be brought up properly
schweigh,Weight for child discipline
hvidx_01,Line number
hvidx_02,Line number
hvidx_03,Line number
hvidx_04,Line number
hvidx_05,Line number
hvidx_06,Line number
hvidx_07,Line number
hvidx_08,Line number
hvidx_09,Line number
hvidx_10,Line number
hvidx_11,Line number
hvidx_12,Line number
hvidx_13,Line number
hvidx_14,Line number
hvidx_15,Line number
hvidx_16,Line number
hvidx_17,Line number
hvidx_18,Line number
hvidx_19,Line number
hvidx_20,Line number
hvidx_21,Line number
hvidx_22,Line number
hvidx_23,Line number
hvidx_24,Line number
hv101_01,Relationship to head
hv101_02,Relationship to head
hv101_03,Relationship to head
hv101_04,Relationship to head
hv101_05,Relationship to head
hv101_06,Relationship to head
hv101_07,Relationship to head
hv101_08,Relationship to head
hv101_09,Relationship to head
hv101_10,Relationship to head
hv101_11,Relationship to head
hv101_12,Relationship to head
hv101_13,Relationship to head
hv101_14,Relationship to head
hv101_15,Relationship to head
hv101_16,Relationship to head
hv101_17,Relationship to head
hv101_18,Relationship to head
hv101_19,Relationship to head
hv101_20,Relationship to head
hv101_21,Relationship to head
hv101_22,Relationship to head
hv101_23,Relationship to head
hv101_24,Relationship to head
hv102_01,Usual resident
hv102_02,Usual resident
hv102_03,Usual resident
hv102_04,Usual resident
hv102_05,Usual resident
hv102_06,Usual resident
hv102_07,Usual resident
hv102_08,Usual resident
hv102_09,Usual resident
hv102_10,Usual resident
hv102_11,Usual resident
hv102_12,Usual resident
hv102_13,Usual resident
hv102_14,Usual resident
hv102_15,Usual resident
hv102_16,Usual resident
hv102_17,Usual resident
hv102_18,Usual resident
hv102_19,Usual resident
hv102_20,Usual resident
hv102_21,Usual resident
hv102_22,Usual resident
hv102_23,Usual resident
hv102_24,Usual resident
hv103_01,Slept last night
hv103_02,Slept last night
hv103_03,Slept last night
hv103_04,Slept last night
hv103_05,Slept last night
hv103_06,Slept last night
hv103_07,Slept last night
hv103_08,Slept last night
hv103_09,Slept last night
hv103_10,Slept last night
hv103_11,Slept last night
hv103_12,Slept last night
hv103_13,Slept last night
hv103_14,Slept last night
hv103_15,Slept last night
hv103_16,Slept last night
hv103_17,Slept last night
hv103_18,Slept last night
hv103_19,Slept last night
hv103_20,Slept last night
hv103_21,Slept last night
hv103_22,Slept last night
hv103_23,Slept last night
hv103_24,Slept last night
hv104_01,Sex of household member
hv104_02,Sex of household member
hv104_03,Sex of household member
hv104_04,Sex of household member
hv104_05,Sex of household member
hv104_06,Sex of household member
hv104_07,Sex of household member
hv104_08,Sex of household member
hv104_09,Sex of household member
hv104_10,Sex of household member
hv104_11,Sex of household member
hv104_12,Sex of household member
hv104_13,Sex of household member
hv104_14,Sex of household member
hv104_15,Sex of household member
hv104_16,Sex of household member
hv104_17,Sex of household member
hv104_18,Sex of household member
hv104_19,Sex of household member
hv104_20,Sex of household member
hv104_21,Sex of household member
hv104_22,Sex of household member
hv104_23,Sex of household member
hv104_24,Sex of household member
hv105_01,Age of household members
hv105_02,Age of household members
hv105_03,Age of household members
hv105_04,Age of household members
hv105_05,Age of household members
hv105_06,Age of household members
hv105_07,Age of household members
hv105_08,Age of household members
hv105_09,Age of household members
hv105_10,Age of household members
hv105_11,Age of household members
hv105_12,Age of household members
hv105_13,Age of household members
hv105_14,Age of household members
hv105_15,Age of household members
hv105_16,Age of household members
hv105_17,Age of household members
hv105_18,Age of household members
hv105_19,Age of household members
hv105_20,Age of household members
hv105_21,Age of household members
hv105_22,Age of household members
hv105_23,Age of household members
hv105_24,Age of household members
hv106_01,Highest educational level attained
hv106_02,Highest educational level attained
hv106_03,Highest educational level attained
hv106_04,Highest educational level attained
hv106_05,Highest educational level attained
hv106_06,Highest educational level attained
hv106_07,Highest educational level attained
hv106_08,Highest educational level attained
hv106_09,Highest educational level attained
hv106_10,Highest educational level attained
hv106_11,Highest educational level attained
hv106_12,Highest educational level attained
hv106_13,Highest educational level attained
hv106_14,Highest educational level attained
hv106_15,Highest educational level attained
hv106_16,Highest educational level attained
hv106_17,Highest educational level attained
hv106_18,Highest educational level attained
hv106_19,Highest educational level attained
hv106_20,Highest educational level attained
hv106_21,Highest educational level attained
hv106_22,Highest educational level attained
hv106_23,Highest educational level attained
hv106_24,Highest educational level attained
hv107_01,Highest year of education completed
hv107_02,Highest year of education completed
hv107_03,Highest year of education completed
hv107_04,Highest year of education completed
hv107_05,Highest year of education completed
hv107_06,Highest year of education completed
hv107_07,Highest year of education completed
hv107_08,Highest year of education completed
hv107_09,Highest year of education completed
hv107_10,Highest year of education completed
hv107_11,Highest year of education completed
hv107_12,Highest year of education completed
hv107_13,Highest year of education completed
hv107_14,Highest year of education completed
hv107_15,Highest year of education completed
hv107_16,Highest year of education completed
hv107_17,Highest year of education completed
hv107_18,Highest year of education completed
hv107_19,Highest year of education completed
hv107_20,Highest year of education completed
hv107_21,Highest year of education completed
hv107_22,Highest year of education completed
hv107_23,Highest year of education completed
hv107_24,Highest year of education completed
hv108_01,Education completed in single years
hv108_02,Education completed in single years
hv108_03,Education completed in single years
hv108_04,Education completed in single years
hv108_05,Education completed in single years
hv108_06,Education completed in single years
hv108_07,Education completed in single years
hv108_08,Education completed in single years
hv108_09,Education completed in single years
hv108_10,Education completed in single years
hv108_11,Education completed in single years
hv108_12,Education completed in single years
hv108_13,Education completed in single years
hv108_14,Education completed in single years
hv108_15,Education completed in single years
hv108_16,Education completed in single years
hv108_17,Education completed in single years
hv108_18,Education completed in single years
hv108_19,Education completed in single years
hv108_20,Education completed in single years
hv108_21,Education completed in single years
hv108_22,Education completed in single years
hv108_23,Education completed in single years
hv108_24,Education completed in single years
hv109_01,Educational attainment
hv109_02,Educational attainment
hv109_03,Educational attainment
hv109_04,Educational attainment
hv109_05,Educational attainment
hv109_06,Educational attainment
hv109_07,Educational attainment
hv109_08,Educational attainment
hv109_09,Educational attainment
hv109_10,Educational attainment
hv109_11,Educational attainment
hv109_12,Educational attainment
hv109_13,Educational attainment
hv109_14,Educational attainment
hv109_15,Educational attainment
hv109_16,Educational attainment
hv109_17,Educational attainment
hv109_18,Educational attainment
hv109_19,Educational attainment
hv109_20,Educational attainment
hv109_21,Educational attainment
hv109_22,Educational attainment
hv109_23,Educational attainment
hv109_24,Educational attainment
hv110_01,NA - Member still in school
hv110_02,NA - Member still in school
hv110_03,NA - Member still in school
hv110_04,NA - Member still in school
hv110_05,NA - Member still in school
hv110_06,NA - Member still in school
hv110_07,NA - Member still in school
hv110_08,NA - Member still in school
hv110_09,NA - Member still in school
hv110_10,NA - Member still in school
hv110_11,NA - Member still in school
hv110_12,NA - Member still in school
hv110_13,NA - Member still in school
hv110_14,NA - Member still in school
hv110_15,NA - Member still in school
hv110_16,NA - Member still in school
hv110_17,NA - Member still in school
hv110_18,NA - Member still in school
hv110_19,NA - Member still in school
hv110_20,NA - Member still in school
hv110_21,NA - Member still in school
hv110_22,NA - Member still in school
hv110_23,NA - Member still in school
hv110_24,NA - Member still in school
hv111_01,Mother alive
hv111_02,Mother alive
hv111_03,Mother alive
hv111_04,Mother alive
hv111_05,Mother alive
hv111_06,Mother alive
hv111_07,Mother alive
hv111_08,Mother alive
hv111_09,Mother alive
hv111_10,Mother alive
hv111_11,Mother alive
hv111_12,Mother alive
hv111_13,Mother alive
hv111_14,Mother alive
hv111_15,Mother alive
hv111_16,Mother alive
hv111_17,Mother alive
hv111_18,Mother alive
hv111_19,Mother alive
hv111_20,Mother alive
hv111_21,Mother alive
hv111_22,Mother alive
hv111_23,Mother alive
hv111_24,Mother alive
hv112_01,Mother's line number
hv112_02,Mother's line number
hv112_03,Mother's line number
hv112_04,Mother's line number
hv112_05,Mother's line number
hv112_06,Mother's line number
hv112_07,Mother's line number
hv112_08,Mother's line number
hv112_09,Mother's line number
hv112_10,Mother's line number
hv112_11,Mother's line number
hv112_12,Mother's line number
hv112_13,Mother's line number
hv112_14,Mother's line number
hv112_15,Mother's line number
hv112_16,Mother's line number
hv112_17,Mother's line number
hv112_18,Mother's line number
hv112_19,Mother's line number
hv112_20,Mother's line number
hv112_21,Mother's line number
hv112_22,Mother's line number
hv112_23,Mother's line number
hv112_24,Mother's line number
hv113_01,Father alive
hv113_02,Father alive
hv113_03,Father alive
hv113_04,Father alive
hv113_05,Father alive
hv113_06,Father alive
hv113_07,Father alive
hv113_08,Father alive
hv113_09,Father alive
hv113_10,Father alive
hv113_11,Father alive
hv113_12,Father alive
hv113_13,Father alive
hv113_14,Father alive
hv113_15,Father alive
hv113_16,Father alive
hv113_17,Father alive
hv113_18,Father alive
hv113_19,Father alive
hv113_20,Father alive
hv113_21,Father alive
hv113_22,Father alive
hv113_23,Father alive
hv113_24,Father alive
hv114_01,Father's line number
hv114_02,Father's line number
hv114_03,Father's line number
hv114_04,Father's line number
hv114_05,Father's line number
hv114_06,Father's line number
hv114_07,Father's line number
hv114_08,Father's line number
hv114_09,Father's line number
hv114_10,Father's line number
hv114_11,Father's line number
hv114_12,Father's line number
hv114_13,Father's line number
hv114_14,Father's line number
hv114_15,Father's line number
hv114_16,Father's line number
hv114_17,Father's line number
hv114_18,Father's line number
hv114_19,Father's line number
hv114_20,Father's line number
hv114_21,Father's line number
hv114_22,Father's line number
hv114_23,Father's line number
hv114_24,Father's line number
hv115_01,Current marital status
hv115_02,Current marital status
hv115_03,Current marital status
hv115_04,Current marital status
hv115_05,Current marital status
hv115_06,Current marital status
hv115_07,Current marital status
hv115_08,Current marital status
hv115_09,Current marital status
hv115_10,Current marital status
hv115_11,Current marital status
hv115_12,Current marital status
hv115_13,Current marital status
hv115_14,Current marital status
hv115_15,Current marital status
hv115_16,Current marital status
hv115_17,Current marital status
hv115_18,Current marital status
hv115_19,Current marital status
hv115_20,Current marital status
hv115_21,Current marital status
hv115_22,Current marital status
hv115_23,Current marital status
hv115_24,Current marital status
hv116_01,"Currently, formerly, never married"
hv116_02,"Currently, formerly, never married"
hv116_03,"Currently, formerly, never married"
hv116_04,"Currently, formerly, never married"
hv116_05,"Currently, formerly, never married"
hv116_06,"Currently, formerly, never married"
hv116_07,"Currently, formerly, never married"
hv116_08,"Currently, formerly, never married"
hv116_09,"Currently, formerly, never married"
hv116_10,"Currently, formerly, never married"
hv116_11,"Currently, formerly, never married"
hv116_12,"Currently, formerly, never married"
hv116_13,"Currently, formerly, never married"
hv116_14,"Currently, formerly, never married"
hv116_15,"Currently, formerly, never married"
hv116_16,"Currently, formerly, never married"
hv116_17,"Currently, formerly, never married"
hv116_18,"Currently, formerly, never married"
hv116_19,"Currently, formerly, never married"
hv116_20,"Currently, formerly, never married"
hv116_21,"Currently, formerly, never married"
hv116_22,"Currently, formerly, never married"
hv116_23,"Currently, formerly, never married"
hv116_24,"Currently, formerly, never married"
hv117_01,Eligibility for female interview
hv117_02,Eligibility for female interview
hv117_03,Eligibility for female interview
hv117_04,Eligibility for female interview
hv117_05,Eligibility for female interview
hv117_06,Eligibility for female interview
hv117_07,Eligibility for female interview
hv117_08,Eligibility for female interview
hv117_09,Eligibility for female interview
hv117_10,Eligibility for female interview
hv117_11,Eligibility for female interview
hv117_12,Eligibility for female interview
hv117_13,Eligibility for female interview
hv117_14,Eligibility for female interview
hv117_15,Eligibility for female interview
hv117_16,Eligibility for female interview
hv117_17,Eligibility for female interview
hv117_18,Eligibility for female interview
hv117_19,Eligibility for female interview
hv117_20,Eligibility for female interview
hv117_21,Eligibility for female interview
hv117_22,Eligibility for female interview
hv117_23,Eligibility for female interview
hv117_24,Eligibility for female interview
hv118_01,Eligibility for male interview
hv118_02,Eligibility for male interview
hv118_03,Eligibility for male interview
hv118_04,Eligibility for male interview
hv118_05,Eligibility for male interview
hv118_06,Eligibility for male interview
hv118_07,Eligibility for male interview
hv118_08,Eligibility for male interview
hv118_09,Eligibility for male interview
hv118_10,Eligibility for male interview
hv118_11,Eligibility for male interview
hv118_12,Eligibility for male interview
hv118_13,Eligibility for male interview
hv118_14,Eligibility for male interview
hv118_15,Eligibility for male interview
hv118_16,Eligibility for male interview
hv118_17,Eligibility for male interview
hv118_18,Eligibility for male interview
hv118_19,Eligibility for male interview
hv118_20,Eligibility for male interview
hv118_21,Eligibility for male interview
hv118_22,Eligibility for male interview
hv118_23,Eligibility for male interview
hv118_24,Eligibility for male interview
hv120_01,Children eligibility for height/weight and hemoglobin
hv120_02,Children eligibility for height/weight and hemoglobin
hv120_03,Children eligibility for height/weight and hemoglobin
hv120_04,Children eligibility for height/weight and hemoglobin
hv120_05,Children eligibility for height/weight and hemoglobin
hv120_06,Children eligibility for height/weight and hemoglobin
hv120_07,Children eligibility for height/weight and hemoglobin
hv120_08,Children eligibility for height/weight and hemoglobin
hv120_09,Children eligibility for height/weight and hemoglobin
hv120_10,Children eligibility for height/weight and hemoglobin
hv120_11,Children eligibility for height/weight and hemoglobin
hv120_12,Children eligibility for height/weight and hemoglobin
hv120_13,Children eligibility for height/weight and hemoglobin
hv120_14,Children eligibility for height/weight and hemoglobin
hv120_15,Children eligibility for height/weight and hemoglobin
hv120_16,Children eligibility for height/weight and hemoglobin
hv120_17,Children eligibility for height/weight and hemoglobin
hv120_18,Children eligibility for height/weight and hemoglobin
hv120_19,Children eligibility for height/weight and hemoglobin
hv120_20,Children eligibility for height/weight and hemoglobin
hv120_21,Children eligibility for height/weight and hemoglobin
hv120_22,Children eligibility for height/weight and hemoglobin
hv120_23,Children eligibility for height/weight and hemoglobin
hv120_24,Children eligibility for height/weight and hemoglobin
hv121_01,Member attended school during current school year
hv121_02,Member attended school during current school year
hv121_03,Member attended school during current school year
hv121_04,Member attended school during current school year
hv121_05,Member attended school during current school year
hv121_06,Member attended school during current school year
hv121_07,Member attended school during current school year
hv121_08,Member attended school during current school year
hv121_09,Member attended school during current school year
hv121_10,Member attended school during current school year
hv121_11,Member attended school during current school year
hv121_12,Member attended school during current school year
hv121_13,Member attended school during current school year
hv121_14,Member attended school during current school year
hv121_15,Member attended school during current school year
hv121_16,Member attended school during current school year
hv121_17,Member attended school during current school year
hv121_18,Member attended school during current school year
hv121_19,Member attended school during current school year
hv121_20,Member attended school during current school year
hv121_21,Member attended school during current school year
hv121_22,Member attended school during current school year
hv121_23,Member attended school during current school year
hv121_24,Member attended school during current school year
hv122_01,Educational level during current school year
hv122_02,Educational level during current school year
hv122_03,Educational level during current school year
hv122_04,Educational level during current school year
hv122_05,Educational level during current school year
hv122_06,Educational level during current school year
hv122_07,Educational level during current school year
hv122_08,Educational level during current school year
hv122_09,Educational level during current school year
hv122_10,Educational level during current school year
hv122_11,Educational level during current school year
hv122_12,Educational level during current school year
hv122_13,Educational level during current school year
hv122_14,Educational level during current school year
hv122_15,Educational level during current school year
hv122_16,Educational level during current school year
hv122_17,Educational level during current school year
hv122_18,Educational level during current school year
hv122_19,Educational level during current school year
hv122_20,Educational level during current school year
hv122_21,Educational level during current school year
hv122_22,Educational level during current school year
hv122_23,Educational level during current school year
hv122_24,Educational level during current school year
hv123_01,Grade of education during current school year
hv123_02,Grade of education during current school year
hv123_03,Grade of education during current school year
hv123_04,Grade of education during current school year
hv123_05,Grade of education during current school year
hv123_06,Grade of education during current school year
hv123_07,Grade of education during current school year
hv123_08,Grade of education during current school year
hv123_09,Grade of education during current school year
hv123_10,Grade of education during current school year
hv123_11,Grade of education during current school year
hv123_12,Grade of education during current school year
hv123_13,Grade of education during current school year
hv123_14,Grade of education during current school year
hv123_15,Grade of education during current school year
hv123_16,Grade of education during current school year
hv123_17,Grade of education during current school year
hv123_18,Grade of education during current school year
hv123_19,Grade of education during current school year
hv123_20,Grade of education during current school year
hv123_21,Grade of education during current school year
hv123_22,Grade of education during current school year
hv123_23,Grade of education during current school year
hv123_24,Grade of education during current school year
hv124_01,Education in single years - current school year
hv124_02,Education in single years - current school year
hv124_03,Education in single years - current school year
hv124_04,Education in single years - current school year
hv124_05,Education in single years - current school year
hv124_06,Education in single years - current school year
hv124_07,Education in single years - current school year
hv124_08,Education in single years - current school year
hv124_09,Education in single years - current school year
hv124_10,Education in single years - current school year
hv124_11,Education in single years - current school year
hv124_12,Education in single years - current school year
hv124_13,Education in single years - current school year
hv124_14,Education in single years - current school year
hv124_15,Education in single years - current school year
hv124_16,Education in single years - current school year
hv124_17,Education in single years - current school year
hv124_18,Education in single years - current school year
hv124_19,Education in single years - current school year
hv124_20,Education in single years - current school year
hv124_21,Education in single years - current school year
hv124_22,Education in single years - current school year
hv124_23,Education in single years - current school year
hv124_24,Education in single years - current school year
hv125_01,NA - Member attended school during previous school year
hv125_02,NA - Member attended school during previous school year
hv125_03,NA - Member attended school during previous school year
hv125_04,NA - Member attended school during previous school year
hv125_05,NA - Member attended school during previous school year
hv125_06,NA - Member attended school during previous school year
hv125_07,NA - Member attended school during previous school year
hv125_08,NA - Member attended school during previous school year
hv125_09,NA - Member attended school during previous school year
hv125_10,NA - Member attended school during previous school year
hv125_11,NA - Member attended school during previous school year
hv125_12,NA - Member attended school during previous school year
hv125_13,NA - Member attended school during previous school year
hv125_14,NA - Member attended school during previous school year
hv125_15,NA - Member attended school during previous school year
hv125_16,NA - Member attended school during previous school year
hv125_17,NA - Member attended school during previous school year
hv125_18,NA - Member attended school during previous school year
hv125_19,NA - Member attended school during previous school year
hv125_20,NA - Member attended school during previous school year
hv125_21,NA - Member attended school during previous school year
hv125_22,NA - Member attended school during previous school year
hv125_23,NA - Member attended school during previous school year
hv125_24,NA - Member attended school during previous school year
hv126_01,NA - Educational level during previous school year
hv126_02,NA - Educational level during previous school year
hv126_03,NA - Educational level during previous school year
hv126_04,NA - Educational level during previous school year
hv126_05,NA - Educational level during previous school year
hv126_06,NA - Educational level during previous school year
hv126_07,NA - Educational level during previous school year
hv126_08,NA - Educational level during previous school year
hv126_09,NA - Educational level during previous school year
hv126_10,NA - Educational level during previous school year
hv126_11,NA - Educational level during previous school year
hv126_12,NA - Educational level during previous school year
hv126_13,NA - Educational level during previous school year
hv126_14,NA - Educational level during previous school year
hv126_15,NA - Educational level during previous school year
hv126_16,NA - Educational level during previous school year
hv126_17,NA - Educational level during previous school year
hv126_18,NA - Educational level during previous school year
hv126_19,NA - Educational level during previous school year
hv126_20,NA - Educational level during previous school year
hv126_21,NA - Educational level during previous school year
hv126_22,NA - Educational level during previous school year
hv126_23,NA - Educational level during previous school year
hv126_24,NA - Educational level during previous school year
hv127_01,NA - Grade of education during previous school year
hv127_02,NA - Grade of education during previous school year
hv127_03,NA - Grade of education during previous school year
hv127_04,NA - Grade of education during previous school year
hv127_05,NA - Grade of education during previous school year
hv127_06,NA - Grade of education during previous school year
hv127_07,NA - Grade of education during previous school year
hv127_08,NA - Grade of education during previous school year
hv127_09,NA - Grade of education during previous school year
hv127_10,NA - Grade of education during previous school year
hv127_11,NA - Grade of education during previous school year
hv127_12,NA - Grade of education during previous school year
hv127_13,NA - Grade of education during previous school year
hv127_14,NA - Grade of education during previous school year
hv127_15,NA - Grade of education during previous school year
hv127_16,NA - Grade of education during previous school year
hv127_17,NA - Grade of education during previous school year
hv127_18,NA - Grade of education during previous school year
hv127_19,NA - Grade of education during previous school year
hv127_20,NA - Grade of education during previous school year
hv127_21,NA - Grade of education during previous school year
hv127_22,NA - Grade of education during previous school year
hv127_23,NA - Grade of education during previous school year
hv127_24,NA - Grade of education during previous school year
hv128_01,NA - Education in single years - previous school year
hv128_02,NA - Education in single years - previous school year
hv128_03,NA - Education in single years - previous school year
hv128_04,NA - Education in single years - previous school year
hv128_05,NA - Education in single years - previous school year
hv128_06,NA - Education in single years - previous school year
hv128_07,NA - Education in single years - previous school year
hv128_08,NA - Education in single years - previous school year
hv128_09,NA - Education in single years - previous school year
hv128_10,NA - Education in single years - previous school year
hv128_11,NA - Education in single years - previous school year
hv128_12,NA - Education in single years - previous school year
hv128_13,NA - Education in single years - previous school year
hv128_14,NA - Education in single years - previous school year
hv128_15,NA - Education in single years - previous school year
hv128_16,NA - Education in single years - previous school year
hv128_17,NA - Education in single years - previous school year
hv128_18,NA - Education in single years - previous school year
hv128_19,NA - Education in single years - previous school year
hv128_20,NA - Education in single years - previous school year
hv128_21,NA - Education in single years - previous school year
hv128_22,NA - Education in single years - previous school year
hv128_23,NA - Education in single years - previous school year
hv128_24,NA - Education in single years - previous school year
hv129_01,NA - School attendance status
hv129_02,NA - School attendance status
hv129_03,NA - School attendance status
hv129_04,NA - School attendance status
hv129_05,NA - School attendance status
hv129_06,NA - School attendance status
hv129_07,NA - School attendance status
hv129_08,NA - School attendance status
hv129_09,NA - School attendance status
hv129_10,NA - School attendance status
hv129_11,NA - School attendance status
hv129_12,NA - School attendance status
hv129_13,NA - School attendance status
hv129_14,NA - School attendance status
hv129_15,NA - School attendance status
hv129_16,NA - School attendance status
hv129_17,NA - School attendance status
hv129_18,NA - School attendance status
hv129_19,NA - School attendance status
hv129_20,NA - School attendance status
hv129_21,NA - School attendance status
hv129_22,NA - School attendance status
hv129_23,NA - School attendance status
hv129_24,NA - School attendance status
hv140_01,Member has a birth certificate
